,tags/0,tags/1,tags/2,tags/3,tags/4,tags/5,tags/6,tags/7
0,YUMS x2,International food,,,,,,
1,International food,,,,,,,
2,Japanese,,,,,,,
3,Indian,,,,,,,
4,Portuguese,,,,,,,
5,YUMS x2,Italian,,,,,,
6,Pizzeria,,,,,,,
7,YUMS x2,International food,,,,,,
8,Portuguese,,,,,,,
9,MICHELIN,INSIDER,Portuguese,,,,,
10,International,,,,,,,
11,International,,,,,,,
12,Mediterranean,,,,,,,
13,Fusion,,,,,,,
14,Portuguese,,,,,,,
15,INSIDER,Japanese,,,,,,
16,Mediterranean,,,,,,,
17,INSIDER,Portuguese,,,,,,
18,Nepalese,,,,,,,
19,YUMS x2,Italian,,,,,,
20,YUMS x2,MICHELIN,INSIDER,French,,,,
21,Portuguese,,,,,,,
22,YUMS x2,MICHELIN,INSIDER,French,,,,
23,Italian,,,,,,,
24,YUMS x2,MICHELIN,INSIDER,French,,,,
25,YUMS x2,MICHELIN,PAY,INSIDER,Gift cards,Mediterranean,Accepting my yums,Welcome
26,European,Accepting my yums,,,,,,
27,Mediterranean,,,,,,,
28,YUMS x2,MICHELIN,French,Accepting my yums,,,,
29,International,,,,,,,
30,YUMS x2,MICHELIN,INSIDER,Spanish,Welcome,,,
31,YUMS x2,Steakhouse,Accepting my yums,,,,,
32,Portuguese,,,,,,,
33,YUMS x2,MICHELIN,INSIDER,PAY,Gift cards,French,,
34,YUMS x2,MICHELIN,INSIDER,Eco-friendly,French,,,
35,YUMS x2,MICHELIN,British,,,,,
36,INSIDER,Japanese,,,,,,
37,Indian,,,,,,,
38,Portuguese,,,,,,,
39,YUMS x2,MICHELIN,Fusion,Accepting my yums,,,,
40,YUMS x2,MICHELIN,INSIDER,French,,,,
41,YUMS x2,MICHELIN,INSIDER,French,,,,
42,MICHELIN,British,Accepting my yums,,,,,
43,Italian,,,,,,,
44,YUMS x2,Steakhouse,Accepting my yums,,,,,
45,Italian,,,,,,,
46,Italian,,,,,,,
47,INSIDER,International food,,,,,,
48,Mediterranean,,,,,,,
49,Indian,,,,,,,
50,YUMS x2,INSIDER,PAY,Gift cards,French,Accepting my yums,,
51,YUMS x2,MICHELIN,French,,,,,
52,Seafood,,,,,,,
53,YUMS x2,MICHELIN,INSIDER,PAY,Gift cards,French,,
54,YUMS x2,Eritrean,,,,,,
55,YUMS x2,INSIDER,French,,,,,
56,Vegan cuisine,,,,,,,
57,International,,,,,,,
58,Portuguese,,,,,,,
59,International,,,,,,,
60,Indian,,,,,,,
61,YUMS x2,Steakhouse,Accepting my yums,,,,,
62,Traditional cuisine,,,,,,,
63,MICHELIN,INSIDER,PAY,Gift cards,American,Accepting my yums,,
64,Steakhouse,Accepting my yums,,,,,,
65,International,,,,,,,
66,Portuguese,,,,,,,
67,YUMS x2,MICHELIN,INSIDER,Mediterranean,Welcome,,,
68,Mediterranean,,,,,,,
69,MICHELIN,INSIDER,PAY,Gift cards,Colombian,Welcome,,
70,YUMS x2,INSIDER,PAY,Gift cards,Meat Cuisine,,,
71,YUMS x2,MICHELIN,INSIDER,Mediterranean,Accepting my yums,Welcome,,
72,Steakhouse,,,,,,,
73,Regional,Accepting my yums,,,,,,
74,YUMS x2,European,,,,,,
75,PAY,Gift cards,Japanese,Welcome,,,,
76,YUMS x2,Eritrean,,,,,,
77,YUMS x2,INSIDER,PAY,Gift cards,French,Accepting my yums,,
78,Greek,,,,,,,
79,YUMS x2,MICHELIN,INSIDER,PAY,Gift cards,Italian,,
80,YUMS x2,European,,,,,,
81,YUMS x2,European,Accepting my yums,,,,,
82,YUMS x2,MICHELIN,INSIDER,Gift cards,French,Accepting my yums,,
83,YUMS x2,INSIDER,Italian,,,,,
84,YUMS x2,Indian,,,,,,
85,YUMS x2,INSIDER,PAY,Gift cards,Campano,Accepting my yums,,
86,MICHELIN,PAY,Gift cards,Mediterranean,Welcome,,,
87,YUMS x2,INSIDER,PAY,Gift cards,Italian,Accepting my yums,,
88,YUMS x2,Japanese,Accepting my yums,,,,,
89,YUMS x2,PAY,Gift cards,Fusion,Welcome,,,
90,YUMS x2,MICHELIN,PAY,Gift cards,Welcome,,,
91,YUMS x2,INSIDER,Swiss,,,,,
92,YUMS x2,INSIDER,International,Accepting my yums,,,,
93,YUMS x2,INSIDER,PAY,Gift cards,Mediterranean,,,
94,Portuguese,,,,,,,
95,YUMS x2,INSIDER,Meat Cuisine,Accepting my yums,,,,
96,YUMS x2,INSIDER,PAY,Gift cards,Veneziano,,,
97,Italian,,,,,,,
98,European,,,,,,,
99,YUMS x2,PAY,Gift cards,Italian,,,,
100,Portuguese,,,,,,,
101,Italian,,,,,,,
102,Portuguese,,,,,,,
103,Italian,,,,,,,
104,Portuguese,,,,,,,
105,Italian,,,,,,,
106,European,,,,,,,
107,Mediterranean,,,,,,,
108,Mediterranean,,,,,,,
109,Portuguese,,,,,,,
110,Japanese,,,,,,,
111,Portuguese,,,,,,,
112,YUMS x2,PAY,Gift cards,Mediterranean,,,,
113,Portuguese,,,,,,,
114,Vegetarian,,,,,,,
115,Indian,,,,,,,
116,Mediterranean,,,,,,,
117,Mediterranean,,,,,,,
118,INSIDER,European,,,,,,
119,Mediterranean,,,,,,,
120,YUMS x2,INSIDER,French,,,,,
121,Italian,,,,,,,
122,Pizzeria,,,,,,,
123,International,,,,,,,
124,Portuguese,,,,,,,
125,Italian,,,,,,,
126,INSIDER,Japanese,,,,,,
127,INSIDER,Traditional cuisine,,,,,,
128,International,,,,,,,
129,Mediterranean,,,,,,,
130,Mediterranean,,,,,,,
131,Varied,,,,,,,
132,Italian,,,,,,,
133,European,,,,,,,
134,Varied,,,,,,,
135,Italian,,,,,,,
136,Portuguese,,,,,,,
137,Pizzeria,Welcome,,,,,,
138,Mediterranean,,,,,,,
139,YUMS x2,Varied,,,,,,
140,International,,,,,,,
141,Portuguese,,,,,,,
142,Mediterranean,,,,,,,
143,Pizzeria,,,,,,,
144,Portuguese,,,,,,,
145,Portuguese,,,,,,,
146,Grilled,,,,,,,
147,Varied,,,,,,,
148,European,,,,,,,
149,Mediterranean,,,,,,,
150,INSIDER,Portuguese,,,,,,
151,MICHELIN,INSIDER,International food,Accepting my yums,,,,
152,Italian,,,,,,,
153,Italian,,,,,,,
154,Portuguese,,,,,,,
155,Italian,,,,,,,
156,International,,,,,,,
157,Mediterranean,,,,,,,
158,Pizzeria,,,,,,,
159,Mediterranean,,,,,,,
160,Thai,,,,,,,
161,Portuguese,,,,,,,
162,INSIDER,International food,,,,,,
163,INSIDER,Portuguese,,,,,,
164,Traditional cuisine,,,,,,,
165,Italian,,,,,,,
166,Mexican,,,,,,,
167,YUMS x2,International,,,,,,
168,INSIDER,Portuguese,,,,,,
169,YUMS x2,INSIDER,Indian,,,,,
170,Local,,,,,,,
171,YUMS x2,Asian,,,,,,
172,Varied,,,,,,,
173,YUMS x2,Traditional cuisine,,,,,,
174,Seafood,,,,,,,
175,INSIDER,Portuguese,,,,,,
176,Steakhouse,,,,,,,
177,International food,,,,,,,
178,Steakhouse,,,,,,,
179,Steakhouse,,,,,,,
180,MICHELIN,INSIDER,International food,,,,,
181,Pizzeria,,,,,,,
182,INSIDER,European,,,,,,
183,Portuguese,,,,,,,
184,YUMS x2,Portuguese,,,,,,
185,YUMS x2,Mediterranean,,,,,,
186,Greek,,,,,,,
187,Indian,,,,,,,
188,YUMS x2,INSIDER,European,,,,,
189,International,,,,,,,
190,Japanese,,,,,,,
191,French,Accepting my yums,,,,,,
192,Italian,,,,,,,
193,Portuguese,,,,,,,
194,Portuguese,,,,,,,
195,INSIDER,International food,,,,,,
196,Portuguese,,,,,,,
197,Steakhouse,,,,,,,
198,International,,,,,,,
199,INSIDER,Thai,,,,,,
200,Portuguese,,,,,,,
201,International,Accepting my yums,,,,,,
202,Italian,,,,,,,
203,International,,,,,,,
204,International food,,,,,,,
205,Portuguese,,,,,,,
206,Nepalese,,,,,,,
207,MICHELIN,INSIDER,European,,,,,
208,INSIDER,Steakhouse,,,,,,
209,INSIDER,Portuguese,,,,,,
210,Portuguese,,,,,,,
211,International,,,,,,,
212,INSIDER,Asian,,,,,,
213,International,,,,,,,
214,Fusion,,,,,,,
215,European,,,,,,,
216,Japanese,,,,,,,
217,Portuguese,,,,,,,
218,Portuguese,,,,,,,
219,Japanese,,,,,,,
220,Japanese,,,,,,,
221,Portuguese,,,,,,,
222,Mediterranean,,,,,,,
223,INSIDER,Mediterranean,,,,,,
224,MICHELIN,INSIDER,Portuguese,,,,,
225,Italian,Accepting my yums,,,,,,
226,Traditional cuisine,,,,,,,
227,INSIDER,International food,,,,,,
228,International,,,,,,,
229,Regional,,,,,,,
230,Japanese,,,,,,,
231,INSIDER,Mediterranean,,,,,,
232,Mediterranean,,,,,,,
233,Pizzeria,,,,,,,
234,Steakhouse,Accepting my yums,,,,,,
235,INSIDER,Steakhouse,,,,,,
236,Vegan cuisine,,,,,,,
237,Steakhouse,,,,,,,
238,Portuguese,,,,,,,
239,Japanese,,,,,,,
240,Mediterranean,,,,,,,
241,Portuguese,Accepting my yums,,,,,,
242,Pizzeria,,,,,,,
243,Portuguese,,,,,,,
244,Portuguese,Accepting my yums,,,,,,
245,European,,,,,,,
246,Portuguese,,,,,,,
247,Portuguese,,,,,,,
248,International food,,,,,,,
249,Fusion,,,,,,,
250,Portuguese,,,,,,,
251,Mediterranean,,,,,,,
252,Portuguese,Accepting my yums,,,,,,
253,Italian,,,,,,,
254,Mediterranean,,,,,,,
255,Mediterranean,,,,,,,
256,Portuguese,,,,,,,
257,INSIDER,South American,,,,,,
258,Mediterranean,,,,,,,
259,Thai,,,,,,,
260,INSIDER,Portuguese,,,,,,
261,Mediterranean,,,,,,,
262,Regional,,,,,,,
263,Seafood,,,,,,,
264,Local,,,,,,,
265,International,Accepting my yums,,,,,,
266,Portuguese,,,,,,,
267,Portuguese,,,,,,,
268,Portuguese,,,,,,,
269,YUMS x2,European,,,,,,
270,Japanese,,,,,,,
271,INSIDER,Thai,,,,,,
272,YUMS x2,INSIDER,European,,,,,
273,Portuguese,,,,,,,
274,YUMS x2,INSIDER,Italian,,,,,
275,Mediterranean,,,,,,,
276,Portuguese,,,,,,,
277,International,,,,,,,
278,YUMS x2,International,,,,,,
279,INSIDER,Mediterranean,,,,,,
280,Portuguese,,,,,,,
281,International,,,,,,,
282,Indian,,,,,,,
283,Traditional cuisine,,,,,,,
284,Mediterranean,,,,,,,
285,INSIDER,Steakhouse,,,,,,
286,Mediterranean,,,,,,,
287,Mediterranean,,,,,,,
288,Pub grub,,,,,,,
289,Seafood,,,,,,,
290,Portuguese,,,,,,,
291,Italian,,,,,,,
292,Mexican,,,,,,,
293,Mediterranean,,,,,,,
294,International,,,,,,,
295,International,,,,,,,
296,MICHELIN,INSIDER,Portuguese,,,,,
297,Japanese,,,,,,,
298,INSIDER,Mediterranean,,,,,,
299,MICHELIN,INSIDER,European,,,,,
300,INSIDER,Portuguese,,,,,,
301,International,,,,,,,
302,Japanese,,,,,,,
303,Italian,,,,,,,
304,Portuguese,,,,,,,
305,Pizzeria,,,,,,,
306,Portuguese,,,,,,,
307,Brazilian,,,,,,,
308,Portuguese,,,,,,,
309,INSIDER,International,,,,,,
310,Japanese,,,,,,,
311,Japanese,,,,,,,
312,MICHELIN,INSIDER,Italian,,,,,
313,INSIDER,Portuguese,,,,,,
314,Portuguese,,,,,,,
315,Portuguese,,,,,,,
316,Portuguese,,,,,,,
317,Portuguese,,,,,,,
318,Portuguese,,,,,,,
319,MICHELIN,Portuguese,,,,,,
320,International,,,,,,,
321,Portuguese,,,,,,,
322,Portuguese,,,,,,,
323,Portuguese,,,,,,,
324,Steakhouse,,,,,,,
325,Portuguese,,,,,,,
326,Portuguese,,,,,,,
327,Portuguese,,,,,,,
328,International,,,,,,,
329,Portuguese,,,,,,,
330,Portuguese,,,,,,,
331,Portuguese,,,,,,,
332,YUMS x2,European,,,,,,
333,Portuguese,,,,,,,
334,YUMS x2,European,,,,,,
335,Venezuelan,,,,,,,
336,MICHELIN,INSIDER,European,,,,,
337,Regional,,,,,,,
338,Portuguese,,,,,,,
339,Portuguese,,,,,,,
340,INSIDER,Traditional cuisine,,,,,,
341,Portuguese,,,,,,,
342,International,,,,,,,
343,Portuguese,,,,,,,
344,Portuguese,,,,,,,
345,Portuguese,,,,,,,
346,INSIDER,Portuguese,,,,,,
347,YUMS x2,Portuguese,,,,,,
348,Grilled,,,,,,,
349,Portuguese,,,,,,,
350,INSIDER,International,,,,,,
351,YUMS x2,MICHELIN,INSIDER,French,,,,
352,YUMS x2,MICHELIN,INSIDER,French,,,,
353,YUMS x2,MICHELIN,INSIDER,Mediterranean,Accepting my yums,Welcome,,
354,YUMS x2,MICHELIN,INSIDER,French,,,,
355,YUMS x2,MICHELIN,British,,,,,
356,YUMS x2,MICHELIN,French,Accepting my yums,,,,
357,YUMS x2,MICHELIN,INSIDER,Spanish,Welcome,,,
358,YUMS x2,MICHELIN,INSIDER,French,,,,
359,YUMS x2,MICHELIN,INSIDER,Catalan,Welcome,,,
360,YUMS x2,MICHELIN,INSIDER,PAY,Gift cards,French,,
361,YUMS x2,MICHELIN,Fusion,Accepting my yums,,,,
362,YUMS x2,MICHELIN,INSIDER,French,,,,
363,YUMS x2,MICHELIN,INSIDER,French,,,,
364,YUMS x2,Steakhouse,Accepting my yums,,,,,
365,MICHELIN,British,Accepting my yums,,,,,
366,YUMS x2,PAY,Gift cards,Meat Cuisine,Accepting my yums,,,
367,YUMS x2,INSIDER,PAY,Gift cards,Italian,Accepting my yums,,
368,YUMS x2,MICHELIN,French,,,,,
369,MICHELIN,PAY,Gift cards,Mediterranean,Welcome,,,
370,YUMS x2,INSIDER,French,,,,,
371,YUMS x2,Eritrean,,,,,,
372,YUMS x2,INSIDER,PAY,Gift cards,French,Accepting my yums,,
373,YUMS x2,MICHELIN,INSIDER,Mediterranean,Welcome,,,
374,YUMS x2,MICHELIN,INSIDER,PAY,Gift cards,Italian,,
375,YUMS x2,European,,,,,,
376,YUMS x2,European,Accepting my yums,,,,,
377,PAY,Gift cards,Japanese,Welcome,,,,
378,YUMS x2,MICHELIN,INSIDER,French,,,,
379,YUMS x2,INSIDER,Italian,,,,,
380,YUMS x2,Eritrean,,,,,,
381,YUMS x2,INSIDER,PAY,Gift cards,Meat Cuisine,,,
382,YUMS x2,INSIDER,Meat Cuisine,Accepting my yums,,,,
383,YUMS x2,Mediterranean,,,,,,
384,YUMS x2,MICHELIN,PAY,INSIDER,Gift cards,Mediterranean,Accepting my yums,Welcome
385,MICHELIN,Local,,,,,,
386,YUMS x2,MICHELIN,INSIDER,Gift cards,French,Accepting my yums,,
387,YUMS x2,INSIDER,PAY,Gift cards,Campano,Accepting my yums,,
388,YUMS x2,Indian,,,,,,
389,YUMS x2,Mediterranean,Accepting my yums,,,,,
390,YUMS x2,European,,,,,,
391,YUMS x2,PAY,Gift cards,Italian,,,,
392,YUMS x2,INSIDER,PAY,Gift cards,Mediterranean,,,
393,YUMS x2,INSIDER,French,,,,,
394,MICHELIN,PAY,Gift cards,Mediterranean,Welcome,,,
395,YUMS x2,PAY,Gift cards,Fusion,Welcome,,,
396,YUMS x2,Steakhouse,,,,,,
397,YUMS x2,INSIDER,Corsican,Accepting my yums,,,,
398,YUMS x2,Fusion,,,,,,
399,YUMS x2,INSIDER,International,Accepting my yums,,,,
400,YUMS x2,INSIDER,PAY,Gift cards,Veneziano,,,
401,YUMS x2,MICHELIN,British,,,,,
402,YUMS x2,MICHELIN,INSIDER,French,,,,
403,YUMS x2,MICHELIN,INSIDER,French,,,,
404,YUMS x2,MICHELIN,INSIDER,French,,,,
405,YUMS x2,MICHELIN,INSIDER,Mediterranean,Accepting my yums,Welcome,,
406,YUMS x2,MICHELIN,INSIDER,Spanish,Welcome,,,
407,YUMS x2,MICHELIN,INSIDER,French,,,,
408,YUMS x2,MICHELIN,French,Accepting my yums,,,,
409,YUMS x2,MICHELIN,INSIDER,PAY,Gift cards,French,,
410,YUMS x2,MICHELIN,Fusion,Accepting my yums,,,,
411,YUMS x2,MICHELIN,INSIDER,Catalan,Welcome,,,
412,YUMS x2,MICHELIN,INSIDER,French,,,,
413,Italian,,,,,,,
414,MICHELIN,British,Accepting my yums,,,,,
415,YUMS x2,MICHELIN,INSIDER,French,,,,
416,INSIDER,Mediterranean,,,,,,
417,Pizzeria,,,,,,,
418,YUMS x2,INSIDER,PAY,Gift cards,Italian,Accepting my yums,,
419,MICHELIN,PAY,Gift cards,Mediterranean,Welcome,,,
420,YUMS x2,Eritrean,,,,,,
421,YUMS x2,PAY,Gift cards,Meat Cuisine,Accepting my yums,,,
422,YUMS x2,Steakhouse,Accepting my yums,,,,,
423,YUMS x2,MICHELIN,French,,,,,
424,YUMS x2,MICHELIN,INSIDER,Mediterranean,Welcome,,,
425,YUMS x2,Mediterranean,,,,,,
426,YUMS x2,INSIDER,French,,,,,
427,YUMS x2,European,,,,,,
428,YUMS x2,MICHELIN,INSIDER,French,,,,
429,YUMS x2,Eritrean,,,,,,
430,YUMS x2,INSIDER,PAY,Gift cards,Meat Cuisine,,,
431,YUMS x2,INSIDER,Italian,,,,,
432,MICHELIN,Local,,,,,,
433,YUMS x2,INSIDER,Meat Cuisine,Accepting my yums,,,,
434,YUMS x2,European,Accepting my yums,,,,,
435,YUMS x2,European,,,,,,
436,PAY,Gift cards,Japanese,Welcome,,,,
437,YUMS x2,INSIDER,PAY,Gift cards,French,Accepting my yums,,
438,YUMS x2,MICHELIN,PAY,INSIDER,Gift cards,Mediterranean,Accepting my yums,Welcome
439,YUMS x2,MICHELIN,INSIDER,PAY,Gift cards,Italian,,
440,YUMS x2,Indian,,,,,,
441,YUMS x2,MICHELIN,INSIDER,Gift cards,French,Accepting my yums,,
442,YUMS x2,INSIDER,PAY,Gift cards,Campano,Accepting my yums,,
443,YUMS x2,Mediterranean,Accepting my yums,,,,,
444,MICHELIN,PAY,Gift cards,Mediterranean,Welcome,,,
445,YUMS x2,PAY,Gift cards,Fusion,Welcome,,,
446,YUMS x2,INSIDER,French,,,,,
447,YUMS x2,PAY,Gift cards,Italian,,,,
448,YUMS x2,INSIDER,Corsican,Accepting my yums,,,,
449,YUMS x2,Steakhouse,,,,,,
450,YUMS x2,INSIDER,International,Accepting my yums,,,,
451,YUMS x2,INSIDER,PAY,Gift cards,Mediterranean,,,
452,YUMS x2,Fusion,,,,,,
453,YUMS x2,INSIDER,PAY,Gift cards,Veneziano,,,
454,YUMS x2,MICHELIN,INSIDER,French,,,,
455,YUMS x2,MICHELIN,INSIDER,French,,,,
456,YUMS x2,MICHELIN,INSIDER,French,,,,
457,YUMS x2,MICHELIN,INSIDER,French,,,,
458,Indian,,,,,,,
459,YUMS x2,MICHELIN,INSIDER,Mediterranean,Accepting my yums,Welcome,,
460,YUMS x2,MICHELIN,INSIDER,Spanish,Welcome,,,
461,YUMS x2,MICHELIN,INSIDER,PAY,Gift cards,French,,
462,YUMS x2,MICHELIN,British,,,,,
463,YUMS x2,MICHELIN,French,Accepting my yums,,,,
464,YUMS x2,MICHELIN,INSIDER,Catalan,Welcome,,,
465,Portuguese,,,,,,,
466,Pizzeria,,,,,,,
467,Mediterranean,,,,,,,
468,YUMS x2,MICHELIN,Fusion,Accepting my yums,,,,
469,Steakhouse,,,,,,,
470,Japanese,,,,,,,
471,Japanese,,,,,,,
472,YUMS x2,MICHELIN,INSIDER,French,,,,
473,MICHELIN,British,Accepting my yums,,,,,
474,INSIDER,Portuguese,Accepting my yums,,,,,
475,YUMS x2,MICHELIN,INSIDER,French,,,,
476,Portuguese,,,,,,,
477,YUMS x2,INSIDER,PAY,Gift cards,Italian,Accepting my yums,,
478,YUMS x2,Steakhouse,Accepting my yums,,,,,
479,European,,,,,,,
480,INSIDER,Portuguese,,,,,,
481,INSIDER,Portuguese,,,,,,
482,MICHELIN,INSIDER,European,,,,,
483,YUMS x2,PAY,Gift cards,Meat Cuisine,Accepting my yums,,,
484,YUMS x2,MICHELIN,French,,,,,
485,MICHELIN,PAY,Gift cards,Mediterranean,Welcome,,,
486,Portuguese,,,,,,,
487,YUMS x2,INSIDER,French,,,,,
488,YUMS x2,INSIDER,PAY,Gift cards,French,Accepting my yums,,
489,YUMS x2,Eritrean,,,,,,
490,YUMS x2,Eritrean,,,,,,
491,YUMS x2,MICHELIN,INSIDER,Mediterranean,Welcome,,,
492,YUMS x2,INSIDER,Meat Cuisine,Accepting my yums,,,,
493,YUMS x2,Mediterranean,,,,,,
494,YUMS x2,MICHELIN,INSIDER,PAY,Gift cards,Italian,,
495,Portuguese,,,,,,,
496,YUMS x2,MICHELIN,INSIDER,French,,,,
497,PAY,Gift cards,Japanese,Welcome,,,,
498,Portuguese,,,,,,,
499,Portuguese,,,,,,,
500,YUMS x2,European,,,,,,
501,YUMS x2,European,Accepting my yums,,,,,
502,Portuguese,,,,,,,
503,MICHELIN,Local,,,,,,
504,YUMS x2,INSIDER,PAY,Gift cards,Meat Cuisine,,,
505,Portuguese,,,,,,,
506,Portuguese,,,,,,,
507,YUMS x2,INSIDER,Italian,,,,,
508,YUMS x2,MICHELIN,PAY,INSIDER,Gift cards,Mediterranean,Accepting my yums,Welcome
509,YUMS x2,INSIDER,PAY,Gift cards,Campano,Accepting my yums,,
510,YUMS x2,Indian,,,,,,
511,Portuguese,,,,,,,
512,YUMS x2,PAY,Gift cards,Fusion,Welcome,,,
513,YUMS x2,Mediterranean,Accepting my yums,,,,,
514,YUMS x2,INSIDER,PAY,Gift cards,Mediterranean,,,
515,Italian,,,,,,,
516,YUMS x2,INSIDER,French,,,,,
517,YUMS x2,MICHELIN,INSIDER,Gift cards,French,Accepting my yums,,
518,YUMS x2,PAY,Gift cards,Italian,,,,
519,YUMS x2,INSIDER,PAY,Gift cards,Veneziano,,,
520,YUMS x2,INSIDER,International,Accepting my yums,,,,
521,YUMS x2,Steakhouse,,,,,,
522,YUMS x2,INSIDER,Corsican,Accepting my yums,,,,
523,YUMS x2,European,,,,,,
524,YUMS x2,Fusion,,,,,,
525,MICHELIN,PAY,Gift cards,Mediterranean,Welcome,,,
526,YUMS x2,INSIDER,PAY,Gift cards,International,,,
527,YUMS x2,Japanese,,,,,,
528,YUMS x2,MICHELIN,British,,,,,
529,YUMS x2,MICHELIN,INSIDER,PAY,Gift cards,European,Welcome,
530,YUMS x2,MICHELIN,INSIDER,Local,Accepting my yums,Welcome,,
531,YUMS x2,Asian,,,,,,
532,YUMS x2,PAY,Gift cards,Indian,Welcome,,,
533,YUMS x2,MICHELIN,PAY,Gift cards,Welcome,,,
534,YUMS x2,MICHELIN,PAY,INSIDER,Gift cards,Spanish,Accepting my yums,Welcome
535,YUMS x2,PAY,Gift cards,Mediterranean,,,,
536,YUMS x2,MICHELIN,INSIDER,PAY,Gift cards,Fusion,Welcome,
537,YUMS x2,Japanese,Accepting my yums,,,,,
538,YUMS x2,INSIDER,PAY,Gift cards,International,Accepting my yums,,
539,YUMS x2,PAY,Gift cards,Pizzeria,,,,
540,YUMS x2,European,,,,,,
541,INSIDER,PAY,Gift cards,Seafood,,,,
542,YUMS x2,International,Accepting my yums,,,,,
543,MICHELIN,INSIDER,PAY,Gift cards,Spanish,Welcome,,
544,YUMS x2,INSIDER,Japanese,,,,,
545,YUMS x2,PAY,Gift cards,Vegetarian,,,,
546,MICHELIN,INSIDER,Spanish,,,,,
547,YUMS x2,Indian,Accepting my yums,,,,,
548,YUMS x2,INSIDER,PAY,Gift cards,Italian,,,
549,YUMS x2,MICHELIN,INSIDER,French,,,,
550,YUMS x2,PAY,Gift cards,Japanese,,,,
551,YUMS x2,INSIDER,PAY,Gift cards,Japanese,Accepting my yums,Welcome,
552,YUMS x2,MICHELIN,INSIDER,Eco-friendly,French,,,
553,YUMS x2,INSIDER,Italian,Accepting my yums,,,,
554,YUMS x2,Regional,,,,,,
555,YUMS x2,MICHELIN,INSIDER,PAY,Gift cards,Spanish,Welcome,
556,YUMS x2,INSIDER,Regional,,,,,
557,YUMS x2,INSIDER,French,,,,,
558,YUMS x2,INSIDER,French,,,,,
559,YUMS x2,INSIDER,PAY,Gift cards,Mediterranean,,,
560,YUMS x2,INSIDER,PAY,Gift cards,Italian,,,
561,YUMS x2,Vegetarian,,,,,,
562,YUMS x2,MICHELIN,INSIDER,PAY,Gift cards,Italian,,
563,YUMS x2,Pizzeria,,,,,,
564,YUMS x2,PAY,Gift cards,Lebanese,,,,
565,YUMS x2,PAY,Gift cards,Indian,,,,
566,YUMS x2,INSIDER,PAY,Gift cards,Toscano,,,
567,YUMS x2,PAY,Gift cards,Italian,Accepting my yums,,,
568,YUMS x2,INSIDER,PAY,Gift cards,Italian,Accepting my yums,,
569,YUMS x2,MICHELIN,INSIDER,PAY,Gift cards,Seafood,Accepting my yums,
570,YUMS x2,European,,,,,,
571,YUMS x2,INSIDER,PAY,Gift cards,Siciliano,,,
572,YUMS x2,INSIDER,PAY,Gift cards,Sardo,,,
573,YUMS x2,INSIDER,PAY,Gift cards,Piemontese,,,
574,YUMS x2,INSIDER,French,,,,,
575,YUMS x2,INSIDER,Meat Cuisine,Accepting my yums,,,,
576,Portuguese,Accepting my yums,,,,,,
577,Mediterranean,,,,,,,
578,Grilled,,,,,,,
