,tags/0,tags/1,tags/2,tags/3,tags/4,tags/5,tags/6,tags/7
579,Regional,,,,,,,
580,Portuguese,,,,,,,
581,Portuguese,Accepting my yums,,,,,,
582,Traditional cuisine,,,,,,,
583,Traditional cuisine,,,,,,,
584,YUMS x2,MICHELIN,INSIDER,French,,,,
585,YUMS x2,MICHELIN,INSIDER,Mediterranean,Accepting my yums,Welcome,,
586,YUMS x2,MICHELIN,INSIDER,French,,,,
587,YUMS x2,MICHELIN,British,,,,,
588,YUMS x2,MICHELIN,INSIDER,French,,,,
589,YUMS x2,MICHELIN,French,Accepting my yums,,,,
590,YUMS x2,MICHELIN,INSIDER,PAY,Gift cards,French,,
591,YUMS x2,MICHELIN,INSIDER,Catalan,Welcome,,,
592,YUMS x2,MICHELIN,INSIDER,French,,,,
593,YUMS x2,MICHELIN,Fusion,Accepting my yums,,,,
594,YUMS x2,MICHELIN,INSIDER,French,,,,
595,MICHELIN,British,Accepting my yums,,,,,
596,YUMS x2,MICHELIN,INSIDER,French,,,,
597,YUMS x2,INSIDER,PAY,Gift cards,Italian,Accepting my yums,,
598,YUMS x2,MICHELIN,French,,,,,
599,YUMS x2,Steakhouse,Accepting my yums,,,,,
600,YUMS x2,MICHELIN,INSIDER,Mediterranean,Welcome,,,
601,YUMS x2,INSIDER,French,,,,,
602,YUMS x2,Eritrean,,,,,,
603,YUMS x2,Eritrean,,,,,,
604,YUMS x2,European,,,,,,
605,YUMS x2,INSIDER,PAY,Gift cards,Meat Cuisine,,,
606,YUMS x2,Mediterranean,,,,,,
607,YUMS x2,MICHELIN,INSIDER,French,,,,
608,YUMS x2,INSIDER,Meat Cuisine,Accepting my yums,,,,
609,YUMS x2,MICHELIN,INSIDER,PAY,Gift cards,Italian,,
610,MICHELIN,Local,,,,,,
611,YUMS x2,INSIDER,Italian,,,,,
612,YUMS x2,Indian,,,,,,
613,PAY,Gift cards,Japanese,Welcome,,,,
614,YUMS x2,European,Accepting my yums,,,,,
615,YUMS x2,MICHELIN,PAY,INSIDER,Gift cards,Mediterranean,Accepting my yums,Welcome
616,YUMS x2,INSIDER,French,,,,,
617,YUMS x2,European,,,,,,
618,MICHELIN,PAY,Gift cards,Mediterranean,Welcome,,,
619,YUMS x2,MICHELIN,INSIDER,Gift cards,French,Accepting my yums,,
620,YUMS x2,PAY,Gift cards,Italian,,,,
621,YUMS x2,INSIDER,PAY,Gift cards,Mediterranean,,,
622,YUMS x2,INSIDER,International,Accepting my yums,,,,
623,YUMS x2,Steakhouse,,,,,,
624,YUMS x2,INSIDER,PAY,Gift cards,Veneziano,,,
625,YUMS x2,Mediterranean,Accepting my yums,,,,,
626,YUMS x2,PAY,Gift cards,Fusion,Welcome,,,
627,YUMS x2,Fusion,,,,,,
628,YUMS x2,INSIDER,Corsican,Accepting my yums,,,,
629,YUMS x2,Japanese,,,,,,
630,YUMS x2,MICHELIN,PAY,Gift cards,Welcome,,,
631,YUMS x2,PAY,Gift cards,Indian,Welcome,,,
632,YUMS x2,Asian,,,,,,
633,YUMS x2,MICHELIN,INSIDER,Local,Accepting my yums,Welcome,,
634,YUMS x2,INSIDER,PAY,Gift cards,International,,,
635,YUMS x2,MICHELIN,INSIDER,PAY,Gift cards,European,Welcome,
636,YUMS x2,MICHELIN,PAY,INSIDER,Gift cards,Spanish,Accepting my yums,Welcome
637,YUMS x2,MICHELIN,INSIDER,PAY,Gift cards,Fusion,Welcome,
638,YUMS x2,INSIDER,PAY,Gift cards,International,Accepting my yums,,
639,YUMS x2,Japanese,Accepting my yums,,,,,
640,YUMS x2,PAY,Gift cards,Mediterranean,,,,
641,YUMS x2,MICHELIN,British,,,,,
642,YUMS x2,PAY,Gift cards,Pizzeria,,,,
643,MICHELIN,INSIDER,PAY,Gift cards,Spanish,Welcome,,
644,INSIDER,PAY,Gift cards,Seafood,,,,
645,YUMS x2,PAY,Gift cards,Vegetarian,,,,
646,YUMS x2,Indian,Accepting my yums,,,,,
647,YUMS x2,INSIDER,PAY,Gift cards,Italian,,,
648,YUMS x2,INSIDER,Japanese,,,,,
649,MICHELIN,INSIDER,Spanish,,,,,
650,YUMS x2,INSIDER,PAY,Gift cards,Japanese,Accepting my yums,Welcome,
651,YUMS x2,MICHELIN,INSIDER,PAY,Gift cards,Spanish,Welcome,
652,YUMS x2,European,,,,,,
653,YUMS x2,International,Accepting my yums,,,,,
654,YUMS x2,INSIDER,French,,,,,
655,YUMS x2,PAY,Gift cards,Japanese,,,,
656,YUMS x2,INSIDER,Regional,,,,,
657,YUMS x2,INSIDER,PAY,Gift cards,Mediterranean,,,
658,YUMS x2,INSIDER,Italian,Accepting my yums,,,,
659,YUMS x2,Regional,,,,,,
660,YUMS x2,Pizzeria,,,,,,
661,YUMS x2,Vegetarian,,,,,,
662,YUMS x2,INSIDER,French,,,,,
663,YUMS x2,MICHELIN,INSIDER,Eco-friendly,French,,,
664,YUMS x2,PAY,Gift cards,Indian,,,,
665,YUMS x2,MICHELIN,INSIDER,PAY,Gift cards,Italian,,
666,YUMS x2,PAY,Gift cards,Italian,Accepting my yums,,,
667,YUMS x2,PAY,Gift cards,Lebanese,,,,
668,YUMS x2,MICHELIN,INSIDER,French,,,,
669,YUMS x2,INSIDER,PAY,Gift cards,Italian,,,
670,YUMS x2,INSIDER,PAY,Gift cards,Toscano,,,
671,YUMS x2,INSIDER,PAY,Gift cards,Piemontese,,,
672,YUMS x2,European,,,,,,
673,YUMS x2,INSIDER,PAY,Gift cards,Italian,Accepting my yums,,
674,YUMS x2,INSIDER,PAY,Gift cards,Sardo,,,
675,YUMS x2,INSIDER,PAY,Gift cards,Siciliano,,,
676,YUMS x2,MICHELIN,INSIDER,PAY,Gift cards,Seafood,Accepting my yums,
677,YUMS x2,MICHELIN,INSIDER,Spanish,Welcome,,,
678,YUMS x2,INSIDER,Meat Cuisine,Accepting my yums,,,,
679,YUMS x2,INSIDER,French,,,,,
680,YUMS x2,INSIDER,PAY,Gift cards,French,Accepting my yums,,
681,MICHELIN,PAY,Gift cards,Mediterranean,Welcome,,,
682,YUMS x2,INSIDER,PAY,Gift cards,Campano,Accepting my yums,,
683,YUMS x2,PAY,Gift cards,Meat Cuisine,Accepting my yums,,,
684,YUMS x2,MICHELIN,INSIDER,Catalan,Welcome,,,
685,YUMS x2,MICHELIN,INSIDER,French,,,,
686,YUMS x2,MICHELIN,INSIDER,French,,,,
687,YUMS x2,MICHELIN,INSIDER,Spanish,Welcome,,,
688,YUMS x2,MICHELIN,British,,,,,
689,YUMS x2,MICHELIN,French,Accepting my yums,,,,
690,YUMS x2,MICHELIN,INSIDER,Mediterranean,Accepting my yums,Welcome,,
691,YUMS x2,MICHELIN,INSIDER,French,,,,
692,YUMS x2,MICHELIN,INSIDER,French,,,,
693,YUMS x2,MICHELIN,INSIDER,PAY,Gift cards,French,,
694,YUMS x2,MICHELIN,INSIDER,French,,,,
695,MICHELIN,British,Accepting my yums,,,,,
696,YUMS x2,MICHELIN,INSIDER,French,,,,
697,YUMS x2,MICHELIN,Fusion,Accepting my yums,,,,
698,YUMS x2,Mediterranean,,,,,,
699,YUMS x2,Eritrean,,,,,,
700,YUMS x2,INSIDER,PAY,Gift cards,Italian,Accepting my yums,,
701,MICHELIN,PAY,Gift cards,Mediterranean,Welcome,,,
702,YUMS x2,MICHELIN,French,,,,,
703,YUMS x2,Eritrean,,,,,,
704,YUMS x2,Steakhouse,Accepting my yums,,,,,
705,YUMS x2,INSIDER,French,,,,,
706,YUMS x2,PAY,Gift cards,Meat Cuisine,Accepting my yums,,,
707,YUMS x2,MICHELIN,INSIDER,Mediterranean,Welcome,,,
708,YUMS x2,INSIDER,Meat Cuisine,Accepting my yums,,,,
709,YUMS x2,INSIDER,PAY,Gift cards,French,Accepting my yums,,
710,YUMS x2,European,,,,,,
711,YUMS x2,INSIDER,PAY,Gift cards,Meat Cuisine,,,
712,YUMS x2,MICHELIN,INSIDER,French,,,,
713,YUMS x2,MICHELIN,INSIDER,PAY,Gift cards,Italian,,
714,YUMS x2,INSIDER,Italian,,,,,
715,PAY,Gift cards,Japanese,Welcome,,,,
716,YUMS x2,Indian,,,,,,
717,YUMS x2,European,Accepting my yums,,,,,
718,MICHELIN,Local,,,,,,
719,YUMS x2,PAY,Gift cards,Italian,,,,
720,YUMS x2,INSIDER,PAY,Gift cards,Campano,Accepting my yums,,
721,YUMS x2,European,,,,,,
722,YUMS x2,MICHELIN,PAY,INSIDER,Gift cards,Mediterranean,Accepting my yums,Welcome
723,YUMS x2,MICHELIN,INSIDER,Gift cards,French,Accepting my yums,,
724,MICHELIN,PAY,Gift cards,Mediterranean,Welcome,,,
725,YUMS x2,Mediterranean,Accepting my yums,,,,,
726,YUMS x2,INSIDER,French,,,,,
727,YUMS x2,INSIDER,PAY,Gift cards,Mediterranean,,,
728,YUMS x2,PAY,Gift cards,Fusion,Welcome,,,
729,YUMS x2,INSIDER,Corsican,Accepting my yums,,,,
730,YUMS x2,Steakhouse,,,,,,
731,YUMS x2,INSIDER,International,Accepting my yums,,,,
732,YUMS x2,INSIDER,PAY,Gift cards,Veneziano,,,
733,YUMS x2,Fusion,,,,,,
734,YUMS x2,Portuguese,,,,,,
735,INSIDER,Fusion,,,,,,
736,YUMS x2,Pizzeria,,,,,,
737,Japanese,,,,,,,
738,Peruvian,,,,,,,
739,INSIDER,Pizzeria,,,,,,
740,INSIDER,MICHELIN,Portuguese,,,,,
741,INSIDER,Meat Cuisine,,,,,,
742,INSIDER,International,,,,,,
743,Varied,,,,,,,
744,Korean,,,,,,,
745,European,,,,,,,
746,International,,,,,,,
747,YUMS x2,Portuguese,,,,,,
748,YUMS x2,European,,,,,,
749,Italian,,,,,,,
750,Grilled,,,,,,,
751,American,,,,,,,
752,Portuguese,,,,,,,
753,Japanese,,,,,,,
754,Portuguese,,,,,,,
755,Portuguese,,,,,,,
756,Grilled,,,,,,,
757,Portuguese,,,,,,,
758,YUMS x2,Asian,,,,,,
759,YUMS x2,MICHELIN,PAY,Gift cards,Welcome,,,
760,YUMS x2,MICHELIN,INSIDER,Local,Accepting my yums,Welcome,,
761,YUMS x2,PAY,Gift cards,Indian,Welcome,,,
762,YUMS x2,Japanese,,,,,,
763,YUMS x2,MICHELIN,British,,,,,
764,YUMS x2,MICHELIN,INSIDER,PAY,Gift cards,European,Welcome,
765,YUMS x2,MICHELIN,INSIDER,PAY,Gift cards,Fusion,Welcome,
766,YUMS x2,Japanese,Accepting my yums,,,,,
767,YUMS x2,INSIDER,PAY,Gift cards,International,,,
768,YUMS x2,INSIDER,PAY,Gift cards,International,Accepting my yums,,
769,YUMS x2,PAY,Gift cards,Pizzeria,,,,
770,YUMS x2,MICHELIN,PAY,INSIDER,Gift cards,Spanish,Accepting my yums,Welcome
771,YUMS x2,PAY,Gift cards,Mediterranean,,,,
772,MICHELIN,INSIDER,Spanish,,,,,
773,INSIDER,PAY,Gift cards,Seafood,,,,
774,YUMS x2,PAY,Gift cards,Vegetarian,,,,
775,YUMS x2,European,,,,,,
776,MICHELIN,INSIDER,PAY,Gift cards,Spanish,Welcome,,
777,YUMS x2,INSIDER,PAY,Gift cards,Italian,,,
778,YUMS x2,INSIDER,Japanese,,,,,
779,YUMS x2,Indian,Accepting my yums,,,,,
780,YUMS x2,International,Accepting my yums,,,,,
781,YUMS x2,MICHELIN,INSIDER,PAY,Gift cards,Spanish,Welcome,
782,YUMS x2,INSIDER,PAY,Gift cards,Japanese,Accepting my yums,Welcome,
783,YUMS x2,INSIDER,Regional,,,,,
784,YUMS x2,INSIDER,French,,,,,
785,YUMS x2,PAY,Gift cards,Japanese,,,,
786,YUMS x2,Regional,,,,,,
787,YUMS x2,MICHELIN,INSIDER,French,,,,
788,YUMS x2,MICHELIN,INSIDER,Eco-friendly,French,,,
789,YUMS x2,INSIDER,PAY,Gift cards,Mediterranean,,,
790,YUMS x2,INSIDER,French,,,,,
791,YUMS x2,Vegetarian,,,,,,
792,YUMS x2,Pizzeria,,,,,,
793,YUMS x2,INSIDER,Italian,Accepting my yums,,,,
794,YUMS x2,PAY,Gift cards,Italian,Accepting my yums,,,
795,YUMS x2,European,,,,,,
796,YUMS x2,PAY,Gift cards,Lebanese,,,,
797,YUMS x2,INSIDER,PAY,Gift cards,Toscano,,,
798,YUMS x2,MICHELIN,INSIDER,PAY,Gift cards,Italian,,
799,YUMS x2,INSIDER,PAY,Gift cards,Piemontese,,,
800,YUMS x2,INSIDER,PAY,Gift cards,Italian,,,
801,YUMS x2,INSIDER,PAY,Gift cards,Italian,Accepting my yums,,
802,YUMS x2,PAY,Gift cards,Indian,,,,
803,YUMS x2,INSIDER,PAY,Gift cards,Sardo,,,
804,YUMS x2,MICHELIN,INSIDER,PAY,Gift cards,Seafood,Accepting my yums,
805,YUMS x2,INSIDER,French,,,,,
806,YUMS x2,INSIDER,Meat Cuisine,Accepting my yums,,,,
807,YUMS x2,INSIDER,PAY,Gift cards,Siciliano,,,
808,Italian,,,,,,,
809,Pizzeria,,,,,,,
810,YUMS x2,MICHELIN,INSIDER,French,,,,
811,Portuguese,,,,,,,
812,YUMS x2,MICHELIN,INSIDER,Mediterranean,Accepting my yums,Welcome,,
813,Japanese,,,,,,,
814,Portuguese,,,,,,,
815,Pizzeria,,,,,,,
816,YUMS x2,MICHELIN,INSIDER,French,,,,
817,YUMS x2,MICHELIN,INSIDER,French,,,,
818,American,,,,,,,
819,Portuguese,,,,,,,
820,YUMS x2,MICHELIN,INSIDER,Spanish,Welcome,,,
821,Portuguese,,,,,,,
822,YUMS x2,MICHELIN,British,,,,,
823,YUMS x2,MICHELIN,INSIDER,French,,,,
824,YUMS x2,MICHELIN,INSIDER,PAY,Gift cards,French,,
825,Vegetarian,,,,,,,
826,INSIDER,International,,,,,,
827,YUMS x2,MICHELIN,French,Accepting my yums,,,,
828,YUMS x2,MICHELIN,INSIDER,Catalan,Welcome,,,
829,MICHELIN,International food,,,,,,
830,YUMS x2,MICHELIN,Fusion,Accepting my yums,,,,
831,Italian,,,,,,,
832,Traditional cuisine,,,,,,,
833,YUMS x2,MICHELIN,INSIDER,French,,,,
834,YUMS x2,MICHELIN,INSIDER,French,,,,
835,Mediterranean,,,,,,,
836,INSIDER,Japanese,,,,,,
837,YUMS x2,Steakhouse,Accepting my yums,,,,,
838,YUMS x2,MICHELIN,French,,,,,
839,Pizzeria,,,,,,,
840,Seafood,,,,,,,
841,YUMS x2,INSIDER,PAY,Gift cards,Italian,Accepting my yums,,
842,YUMS x2,PAY,Gift cards,Meat Cuisine,Accepting my yums,,,
843,MICHELIN,British,Accepting my yums,,,,,
844,Portuguese,,,,,,,
845,YUMS x2,Eritrean,,,,,,
846,INSIDER,Portuguese,,,,,,
847,YUMS x2,INSIDER,PAY,Gift cards,French,Accepting my yums,,
848,MICHELIN,PAY,Gift cards,Mediterranean,Welcome,,,
849,Vegetarian,,,,,,,
850,Japanese,,,,,,,
851,YUMS x2,INSIDER,French,,,,,
852,INSIDER,Meat Cuisine,,,,,,
853,YUMS x2,Mediterranean,,,,,,
854,Japanese,,,,,,,
855,Portuguese,,,,,,,
856,YUMS x2,MICHELIN,INSIDER,Mediterranean,Welcome,,,
857,Grilled,,,,,,,
858,YUMS x2,Eritrean,,,,,,
859,YUMS x2,MICHELIN,INSIDER,French,,,,
860,Portuguese,,,,,,,
861,INSIDER,European,,,,,,
862,YUMS x2,INSIDER,PAY,Gift cards,Meat Cuisine,,,
863,Meat Cuisine,,,,,,,
864,Traditional cuisine,,,,,,,
865,Vegetarian,,,,,,,
866,Mediterranean,,,,,,,
867,YUMS x2,European,,,,,,
868,YUMS x2,MICHELIN,INSIDER,PAY,Gift cards,Italian,,
869,YUMS x2,INSIDER,Meat Cuisine,Accepting my yums,,,,
870,Portuguese,,,,,,,
871,International,,,,,,,
872,Pizzeria,,,,,,,
873,Japanese,,,,,,,
874,Steakhouse,,,,,,,
875,International food,,,,,,,
876,YUMS x2,INSIDER,Italian,,,,,
877,PAY,Gift cards,Japanese,Welcome,,,,
878,Traditional cuisine,,,,,,,
879,YUMS x2,European,,,,,,
880,MICHELIN,Local,,,,,,
881,YUMS x2,European,Accepting my yums,,,,,
882,YUMS x2,Mediterranean,Accepting my yums,,,,,
883,YUMS x2,INSIDER,PAY,Gift cards,Campano,Accepting my yums,,
884,YUMS x2,Indian,,,,,,
885,Indian,,,,,,,
886,MICHELIN,PAY,Gift cards,Mediterranean,Welcome,,,
887,YUMS x2,MICHELIN,PAY,INSIDER,Gift cards,Mediterranean,Accepting my yums,Welcome
888,YUMS x2,MICHELIN,INSIDER,Gift cards,French,Accepting my yums,,
889,YUMS x2,Fusion,,,,,,
890,YUMS x2,PAY,Gift cards,Fusion,Welcome,,,
891,YUMS x2,INSIDER,French,,,,,
892,YUMS x2,PAY,Gift cards,Italian,,,,
893,YUMS x2,INSIDER,International,Accepting my yums,,,,
894,YUMS x2,INSIDER,PAY,Gift cards,Veneziano,,,
895,YUMS x2,INSIDER,PAY,Gift cards,Mediterranean,,,
896,YUMS x2,Steakhouse,,,,,,
897,YUMS x2,INSIDER,Corsican,Accepting my yums,,,,
898,YUMS x2,MICHELIN,PAY,Gift cards,Welcome,,,
899,YUMS x2,Asian,,,,,,
900,YUMS x2,PAY,Gift cards,Indian,Welcome,,,
901,YUMS x2,Japanese,,,,,,
902,YUMS x2,MICHELIN,INSIDER,Local,Accepting my yums,Welcome,,
903,YUMS x2,MICHELIN,INSIDER,PAY,Gift cards,European,Welcome,
904,YUMS x2,MICHELIN,INSIDER,PAY,Gift cards,Fusion,Welcome,
905,YUMS x2,INSIDER,PAY,Gift cards,International,,,
906,YUMS x2,MICHELIN,British,,,,,
907,YUMS x2,PAY,Gift cards,Pizzeria,,,,
908,YUMS x2,PAY,Gift cards,Mediterranean,,,,
909,YUMS x2,MICHELIN,PAY,INSIDER,Gift cards,Spanish,Accepting my yums,Welcome
910,MICHELIN,INSIDER,Spanish,,,,,
911,MICHELIN,INSIDER,PAY,Gift cards,Spanish,Welcome,,
912,YUMS x2,INSIDER,PAY,Gift cards,International,Accepting my yums,,
913,YUMS x2,European,,,,,,
914,YUMS x2,Indian,Accepting my yums,,,,,
915,YUMS x2,International,Accepting my yums,,,,,
916,YUMS x2,INSIDER,Japanese,,,,,
917,YUMS x2,PAY,Gift cards,Vegetarian,,,,
918,YUMS x2,MICHELIN,INSIDER,PAY,Gift cards,Spanish,Welcome,
919,YUMS x2,INSIDER,PAY,Gift cards,Italian,,,
920,YUMS x2,INSIDER,PAY,Gift cards,Japanese,Accepting my yums,Welcome,
921,YUMS x2,PAY,Gift cards,Japanese,,,,
922,YUMS x2,INSIDER,Regional,,,,,
923,YUMS x2,INSIDER,PAY,Gift cards,Mediterranean,,,
924,YUMS x2,Pizzeria,,,,,,
925,YUMS x2,Regional,,,,,,
926,YUMS x2,Japanese,Accepting my yums,,,,,
927,INSIDER,PAY,Gift cards,Seafood,,,,
928,YUMS x2,INSIDER,French,,,,,
929,YUMS x2,INSIDER,French,,,,,
930,YUMS x2,MICHELIN,INSIDER,French,,,,
931,YUMS x2,Vegetarian,,,,,,
932,YUMS x2,PAY,Gift cards,Lebanese,,,,
933,YUMS x2,INSIDER,PAY,Gift cards,Toscano,,,
934,YUMS x2,INSIDER,Italian,Accepting my yums,,,,
935,YUMS x2,PAY,Gift cards,Italian,Accepting my yums,,,
936,YUMS x2,MICHELIN,INSIDER,PAY,Gift cards,Italian,,
937,YUMS x2,PAY,Gift cards,Indian,,,,
938,YUMS x2,INSIDER,PAY,Gift cards,Italian,,,
939,YUMS x2,European,,,,,,
940,YUMS x2,MICHELIN,INSIDER,Eco-friendly,French,,,
941,YUMS x2,INSIDER,PAY,Gift cards,Italian,Accepting my yums,,
942,YUMS x2,INSIDER,PAY,Gift cards,Sardo,,,
943,YUMS x2,INSIDER,PAY,Gift cards,Piemontese,,,
944,YUMS x2,MICHELIN,INSIDER,PAY,Gift cards,Seafood,Accepting my yums,
945,YUMS x2,INSIDER,Meat Cuisine,Accepting my yums,,,,
946,YUMS x2,INSIDER,PAY,Gift cards,Siciliano,,,
947,YUMS x2,INSIDER,French,,,,,
948,Japanese,,,,,,,
949,INSIDER,Brazilian,,,,,,
950,INSIDER,Seafood,,,,,,
951,Portuguese,,,,,,,
952,European,,,,,,,
953,INSIDER,Portuguese,,,,,,
954,YUMS x2,Seafood,,,,,,
955,Portuguese,,,,,,,
956,Asian,,,,,,,
957,Mediterranean,,,,,,,
958,Grilled,,,,,,,
959,Mediterranean,,,,,,,
960,Mediterranean,,,,,,,
961,Portuguese,,,,,,,
962,MICHELIN,INSIDER,Mediterranean,,,,,
963,YUMS x2,MICHELIN,INSIDER,Spanish,Welcome,,,
964,YUMS x2,MICHELIN,INSIDER,French,,,,
965,YUMS x2,MICHELIN,INSIDER,French,,,,
966,YUMS x2,MICHELIN,INSIDER,French,,,,
967,YUMS x2,MICHELIN,British,,,,,
968,YUMS x2,MICHELIN,INSIDER,PAY,Gift cards,French,,
969,YUMS x2,MICHELIN,French,Accepting my yums,,,,
970,YUMS x2,MICHELIN,INSIDER,French,,,,
971,YUMS x2,MICHELIN,INSIDER,Mediterranean,Accepting my yums,Welcome,,
972,YUMS x2,MICHELIN,INSIDER,French,,,,
973,YUMS x2,MICHELIN,INSIDER,Catalan,Welcome,,,
974,MICHELIN,British,Accepting my yums,,,,,
975,YUMS x2,Steakhouse,Accepting my yums,,,,,
976,YUMS x2,INSIDER,PAY,Gift cards,Italian,Accepting my yums,,
977,YUMS x2,MICHELIN,INSIDER,French,,,,
978,YUMS x2,MICHELIN,French,,,,,
979,YUMS x2,MICHELIN,Fusion,Accepting my yums,,,,
980,YUMS x2,PAY,Gift cards,Meat Cuisine,Accepting my yums,,,
981,MICHELIN,PAY,Gift cards,Mediterranean,Welcome,,,
982,YUMS x2,Eritrean,,,,,,
983,YUMS x2,Eritrean,,,,,,
984,YUMS x2,MICHELIN,INSIDER,French,,,,
985,YUMS x2,MICHELIN,INSIDER,Mediterranean,Welcome,,,
986,YUMS x2,INSIDER,PAY,Gift cards,French,Accepting my yums,,
987,YUMS x2,INSIDER,French,,,,,
988,YUMS x2,Mediterranean,,,,,,
989,YUMS x2,European,,,,,,
990,YUMS x2,INSIDER,Meat Cuisine,Accepting my yums,,,,
991,Regional,,,,,,,
992,YUMS x2,European,Accepting my yums,,,,,
993,PAY,Gift cards,Japanese,Welcome,,,,
994,YUMS x2,MICHELIN,INSIDER,Gift cards,French,Accepting my yums,,
995,YUMS x2,MICHELIN,PAY,INSIDER,Gift cards,Mediterranean,Accepting my yums,Welcome
996,YUMS x2,MICHELIN,INSIDER,PAY,Gift cards,Italian,,
997,YUMS x2,INSIDER,PAY,Gift cards,Meat Cuisine,,,
998,MICHELIN,INSIDER,Portuguese,,,,,
999,Portuguese,,,,,,,
1000,MICHELIN,Local,,,,,,
1001,Mexican,,,,,,,
1002,YUMS x2,INSIDER,Italian,,,,,
1003,YUMS x2,INSIDER,PAY,Gift cards,Campano,Accepting my yums,,
1004,Portuguese,,,,,,,
1005,YUMS x2,INSIDER,Corsican,Accepting my yums,,,,
1006,MICHELIN,PAY,Gift cards,Mediterranean,Welcome,,,
1007,YUMS x2,INSIDER,PAY,Gift cards,Mediterranean,,,
1008,YUMS x2,INSIDER,French,,,,,
1009,YUMS x2,European,,,,,,
1010,YUMS x2,Mediterranean,Accepting my yums,,,,,
1011,YUMS x2,PAY,Gift cards,Fusion,Welcome,,,
1012,Regional,,,,,,,
1013,Grilled,,,,,,,
1014,Japanese,,,,,,,
1015,European,,,,,,,
1016,Portuguese,,,,,,,
1017,Portuguese,,,,,,,
1018,MICHELIN,INSIDER,Portuguese,,,,,
1019,INSIDER,European,Accepting my yums,,,,,
1020,INSIDER,European,,,,,,
1021,YUMS x2,PAY,Gift cards,Italian,,,,
1022,YUMS x2,Indian,,,,,,
1023,YUMS x2,Steakhouse,,,,,,
1024,YUMS x2,PAY,Gift cards,Indian,Welcome,,,
1025,YUMS x2,MICHELIN,INSIDER,Local,Accepting my yums,Welcome,,
1026,YUMS x2,MICHELIN,INSIDER,PAY,Gift cards,European,Welcome,
1027,YUMS x2,INSIDER,PAY,Gift cards,Veneziano,,,
1028,INSIDER,Portuguese,,,,,,
1029,YUMS x2,PAY,Gift cards,Mediterranean,,,,
1030,YUMS x2,MICHELIN,INSIDER,PAY,Gift cards,Fusion,Welcome,
1031,YUMS x2,INSIDER,PAY,Gift cards,International,Accepting my yums,,
1032,YUMS x2,INSIDER,PAY,Gift cards,International,,,
1033,YUMS x2,MICHELIN,PAY,INSIDER,Gift cards,Spanish,Accepting my yums,Welcome
1034,YUMS x2,MICHELIN,British,,,,,
1035,Varied,Accepting my yums,,,,,,
1036,YUMS x2,PAY,Gift cards,Pizzeria,,,,
1037,YUMS x2,European,,,,,,
1038,YUMS x2,Japanese,Accepting my yums,,,,,
1039,YUMS x2,INSIDER,Japanese,,,,,
1040,YUMS x2,INSIDER,PAY,Gift cards,Italian,,,
1041,INSIDER,PAY,Gift cards,Seafood,,,,
1042,YUMS x2,PAY,Gift cards,Vegetarian,,,,
1043,MICHELIN,INSIDER,PAY,Gift cards,Spanish,Welcome,,
1044,MICHELIN,INSIDER,Spanish,,,,,
1045,YUMS x2,INSIDER,International,Accepting my yums,,,,
1046,YUMS x2,Fusion,,,,,,
1047,YUMS x2,INSIDER,Regional,,,,,
1048,YUMS x2,International,Accepting my yums,,,,,
1049,YUMS x2,INSIDER,French,,,,,
1050,YUMS x2,Fusion,,,,,,
1051,YUMS x2,PAY,Gift cards,Japanese,,,,
