,tags/0,tags/1,tags/2,tags/3,tags/4,tags/5,tags/6,tags/7
1052,YUMS x2,INSIDER,International,Accepting my yums,,,,
1053,YUMS x2,INSIDER,Italian,Accepting my yums,,,,
1054,YUMS x2,Indian,Accepting my yums,,,,,
1055,YUMS x2,MICHELIN,INSIDER,French,,,,
1056,YUMS x2,Regional,,,,,,
1057,YUMS x2,INSIDER,PAY,Gift cards,Mediterranean,,,
1058,YUMS x2,INSIDER,PAY,Gift cards,Japanese,Accepting my yums,Welcome,
1059,YUMS x2,Pizzeria,,,,,,
1060,YUMS x2,INSIDER,French,,,,,
1061,YUMS x2,MICHELIN,INSIDER,Eco-friendly,French,,,
1062,YUMS x2,Vegetarian,,,,,,
1063,YUMS x2,PAY,Gift cards,Lebanese,,,,
1064,YUMS x2,PAY,Gift cards,Italian,Accepting my yums,,,
1065,YUMS x2,INSIDER,PAY,Gift cards,Italian,,,
1066,YUMS x2,INSIDER,PAY,Gift cards,Toscano,,,
1067,YUMS x2,INSIDER,PAY,Gift cards,Piemontese,,,
1068,YUMS x2,European,,,,,,
1069,YUMS x2,MICHELIN,INSIDER,PAY,Gift cards,Italian,,
1070,YUMS x2,INSIDER,PAY,Gift cards,,,,
1071,YUMS x2,MICHELIN,INSIDER,PAY,Gift cards,Seafood,Accepting my yums,
1072,YUMS x2,INSIDER,PAY,Gift cards,Sardo,,,
1073,YUMS x2,PAY,Gift cards,Indian,,,,
1074,YUMS x2,INSIDER,PAY,Gift cards,Italian,Accepting my yums,,
1075,YUMS x2,INSIDER,PAY,Gift cards,Siciliano,,,
1076,YUMS x2,INSIDER,French,,,,,
1077,YUMS x2,INSIDER,French,,,,,
1078,YUMS x2,INSIDER,Meat Cuisine,Accepting my yums,,,,
1079,YUMS x2,MICHELIN,INSIDER,PAY,Gift cards,Spanish,Welcome,
1080,Portuguese,,,,,,,
1081,INSIDER,International,,,,,,
1082,Italian,,,,,,,
1083,INSIDER,Regional,,,,,,
1084,American,,,,,,,
1085,Pizzeria,,,,,,,
1086,Portuguese,,,,,,,
1087,INSIDER,Japanese,,,,,,
1088,American,,,,,,,
1089,European,,,,,,,
1090,Asian,,,,,,,
1091,Mediterranean,,,,,,,
1092,INSIDER,Mediterranean,Accepting my yums,,,,,
1093,European,,,,,,,
1094,INSIDER,Portuguese,,,,,,
1095,European,,,,,,,
1096,INSIDER,European,,,,,,
1097,INSIDER,Steakhouse,,,,,,
1098,INSIDER,Grilled,,,,,,
1099,INSIDER,Grilled,,,,,,
1100,INSIDER,Portuguese,,,,,,
1101,INSIDER,Italian,,,,,,
1102,European,,,,,,,
1103,Italian,,,,,,,
1104,INSIDER,Mexican,,,,,,
1105,Pizzeria,,,,,,,
1106,American,,,,,,,
1107,European,,,,,,,
1108,Brazilian,,,,,,,
1109,European,,,,,,,
1110,Pizzeria,,,,,,,
1111,INSIDER,Portuguese,,,,,,
1112,Mediterranean,,,,,,,
1113,Portuguese,,,,,,,
1114,Mediterranean,,,,,,,
1115,Regional,,,,,,,
1116,Portuguese,,,,,,,
1117,International,Accepting my yums,,,,,,
1118,European,,,,,,,
1119,Pizzeria,,,,,,,
1120,Pizzeria,,,,,,,
1121,Brazilian,,,,,,,
1122,Pizzeria,,,,,,,
1123,European,,,,,,,
1124,Steakhouse,,,,,,,
1125,Pizzeria,,,,,,,
1126,European,,,,,,,
1127,Fusion,,,,,,,
1128,Regional,,,,,,,
1129,European,,,,,,,
1130,European,,,,,,,
1131,Portuguese,,,,,,,
1132,Pizzeria,,,,,,,
1133,International food,,,,,,,
1134,Traditional cuisine,,,,,,,
1135,Portuguese,,,,,,,
1136,Varied,,,,,,,
1137,European,,,,,,,
1138,Pizzeria,,,,,,,
1139,Pizzeria,,,,,,,
1140,INSIDER,Portuguese,,,,,,
1141,European,,,,,,,
1142,European,,,,,,,
1143,Portuguese,,,,,,,
1144,Portuguese,,,,,,,
1145,European,,,,,,,
1146,International,,,,,,,
1147,Portuguese,,,,,,,
1148,Seafood,,,,,,,
1149,American,,,,,,,
1150,Pizzeria,,,,,,,
1151,American,,,,,,,
1152,Portuguese,,,,,,,
1153,Pub grub,,,,,,,
1154,Fusion,,,,,,,
1155,European,,,,,,,
1156,Indian,,,,,,,
1157,YUMS x2,Pizzeria,,,,,,
1158,Italian,,,,,,,
1159,Steakhouse,,,,,,,
1160,Portuguese,,,,,,,
1161,INSIDER,Mediterranean,,,,,,
1162,YUMS x2,Portuguese,,,,,,
1163,INSIDER,Portuguese,,,,,,
1164,Fusion,,,,,,,
1165,Mediterranean,,,,,,,
1166,Japanese,,,,,,,
1167,Mediterranean,,,,,,,
1168,Pizzeria,,,,,,,
1169,International,,,,,,,
1170,Mediterranean,,,,,,,
1171,Portuguese,,,,,,,
1172,INSIDER,Mediterranean,,,,,,
1173,Fusion,,,,,,,
1174,Portuguese,,,,,,,
1175,Mediterranean,,,,,,,
1176,Portuguese,,,,,,,
1177,Portuguese,,,,,,,
1178,Steakhouse,,,,,,,
1179,Italian,,,,,,,
1180,Mediterranean,Accepting my yums,,,,,,
1181,Mediterranean,,,,,,,
1182,Portuguese,,,,,,,
1183,Italian,,,,,,,
1184,Brazilian,,,,,,,
1185,Pizzeria,,,,,,,
1186,Vegetarian,,,,,,,
1187,Steakhouse,,,,,,,
1188,Portuguese,,,,,,,
1189,Italian,,,,,,,
1190,European,,,,,,,
1191,INSIDER,International,,,,,,
1192,Japanese,,,,,,,
1193,Italian,,,,,,,
1194,Brazilian,,,,,,,
1195,Italian,,,,,,,
1196,International,,,,,,,
1197,INSIDER,International food,,,,,,
1198,Portuguese,,,,,,,
1199,Mediterranean,,,,,,,
1200,Mediterranean,,,,,,,
1201,Steakhouse,,,,,,,
1202,Vegan cuisine,,,,,,,
1203,Mediterranean,,,,,,,
1204,Portuguese,,,,,,,
1205,Portuguese,,,,,,,
1206,YUMS x2,Portuguese,,,,,,
1207,Italian,,,,,,,
1208,Portuguese,,,,,,,
1209,YUMS x2,Portuguese,,,,,,
1210,INSIDER,Portuguese,,,,,,
1211,YUMS x2,Pizzeria,,,,,,
1212,YUMS x2,Portuguese,,,,,,
1213,YUMS x2,Asian,,,,,,
1214,Japanese,,,,,,,
1215,International,,,,,,,
1216,Portuguese,,,,,,,
1217,MICHELIN,INSIDER,Portuguese,,,,,
1218,Japanese,,,,,,,
1219,INSIDER,Portuguese,,,,,,
1220,Portuguese,,,,,,,
1221,INSIDER,Mediterranean,,,,,,
1222,YUMS x2,INSIDER,Mediterranean,,,,,
1223,Pizzeria,,,,,,,
1224,American,,,,,,,
1225,YUMS x2,European,,,,,,
1226,YUMS x2,Portuguese,Accepting my yums,,,,,
1227,European,,,,,,,
1228,Vegan cuisine,,,,,,,
1229,Portuguese,,,,,,,
1230,Portuguese,,,,,,,
1231,Japanese,,,,,,,
1232,Portuguese,,,,,,,
1233,Portuguese,,,,,,,
1234,Portuguese,,,,,,,
1235,Pizzeria,,,,,,,
1236,European,,,,,,,
1237,International,,,,,,,
1238,Mediterranean,Accepting my yums,,,,,,
1239,Portuguese,,,,,,,
1240,MICHELIN,INSIDER,Japanese,,,,,
1241,Meat Cuisine,,,,,,,
1242,European,,,,,,,
1243,Pizzeria,,,,,,,
1244,Mexican,,,,,,,
1245,Portuguese,,,,,,,
1246,Japanese,,,,,,,
1247,YUMS x2,Steakhouse,,,,,,
1248,Pizzeria,,,,,,,
1249,Portuguese,,,,,,,
1250,YUMS x2,Japanese,,,,,,
1251,YUMS x2,Brazilian,,,,,,
1252,Japanese,,,,,,,
1253,INSIDER,Japanese,,,,,,
1254,Japanese,,,,,,,
1255,International,,,,,,,
1256,Portuguese,,,,,,,
1257,Portuguese,,,,,,,
1258,Asian,,,,,,,
1259,Portuguese,,,,,,,
1260,INSIDER,Pizzeria,,,,,,
1261,Portuguese,,,,,,,
1262,Portuguese,,,,,,,
1263,Japanese,,,,,,,
1264,Portuguese,Accepting my yums,,,,,,
1265,American,,,,,,,
1266,Brazilian,,,,,,,
1267,Portuguese,,,,,,,
1268,Portuguese,,,,,,,
1269,Pizzeria,,,,,,,
1270,Japanese,,,,,,,
1271,Steakhouse,,,,,,,
1272,Grilled,,,,,,,
1273,Mediterranean,,,,,,,
1274,International,,,,,,,
1275,Mediterranean,,,,,,,
1276,Japanese,,,,,,,
1277,Italian,,,,,,,
1278,Portuguese,,,,,,,
1279,International,Accepting my yums,,,,,,
1280,Portuguese,,,,,,,
1281,INSIDER,Seafood,,,,,,
1282,Pizzeria,,,,,,,
1283,Vegan cuisine,,,,,,,
1284,Steakhouse,,,,,,,
1285,International,,,,,,,
1286,Portuguese,,,,,,,
1287,Toscano,,,,,,,
1288,Japanese,,,,,,,
1289,Portuguese,,,,,,,
1290,Fusion,,,,,,,
1291,Japanese,,,,,,,
1292,Italian,,,,,,,
1293,Portuguese,,,,,,,
1294,Pizzeria,,,,,,,
1295,Peruvian,,,,,,,
1296,Pizzeria,,,,,,,
1297,Japanese,,,,,,,
1298,Portuguese,,,,,,,
1299,Seafood,,,,,,,
1300,Pizzeria,,,,,,,
1301,International,,,,,,,
1302,YUMS x2,Steakhouse,,,,,,
1303,Portuguese,,,,,,,
1304,Portuguese,,,,,,,
1305,Pizzeria,,,,,,,
1306,Mediterranean,,,,,,,
1307,Portuguese,,,,,,,
1308,International,,,,,,,
1309,Japanese,,,,,,,
1310,Japanese,,,,,,,
1311,Mediterranean,,,,,,,
1312,Japanese,,,,,,,
1313,Pizzeria,,,,,,,
1314,Pizzeria,,,,,,,
1315,Portuguese,,,,,,,
1316,Japanese,,,,,,,
1317,Japanese,,,,,,,
1318,Japanese,,,,,,,
1319,Portuguese,,,,,,,
1320,INSIDER,Spanish,,,,,,
1321,Peruvian,Accepting my yums,,,,,,
1322,Steakhouse,,,,,,,
1323,African,,,,,,,
1324,Mediterranean,,,,,,,
1325,Portuguese,,,,,,,
1326,Varied,,,,,,,
1327,INSIDER,Japanese,Accepting my yums,,,,,
1328,Portuguese,,,,,,,
1329,Mediterranean,,,,,,,
1330,Japanese,,,,,,,
1331,Japanese,,,,,,,
1332,Portuguese,Accepting my yums,,,,,,
1333,YUMS x2,Asian,,,,,,
1334,Portuguese,,,,,,,
1335,Seafood,,,,,,,
1336,Brazilian,,,,,,,
1337,Italian,,,,,,,
1338,Pizzeria,,,,,,,
1339,Japanese,,,,,,,
1340,Portuguese,,,,,,,
1341,Pizzeria,,,,,,,
1342,Portuguese,,,,,,,
1343,Portuguese,Accepting my yums,,,,,,
1344,Italian,,,,,,,
1345,Portuguese,,,,,,,
1346,Mexican,,,,,,,
1347,Portuguese,,,,,,,
1348,Pizzeria,,,,,,,
1349,Asian,,,,,,,
1350,Asian,,,,,,,
1351,Indian,,,,,,,
1352,YUMS x2,European,,,,,,
1353,Steakhouse,,,,,,,
1354,Japanese,,,,,,,
1355,INSIDER,Portuguese,Accepting my yums,,,,,
1356,YUMS x2,European,,,,,,
1357,Japanese,,,,,,,
1358,Syrian,,,,,,,
1359,American,,,,,,,
1360,American,,,,,,,
1361,Steakhouse,,,,,,,
1362,Grilled,,,,,,,
1363,Italian,,,,,,,
1364,Steakhouse,,,,,,,
1365,Mediterranean,,,,,,,
1366,Portuguese,,,,,,,
1367,Korean,Accepting my yums,,,,,,
1368,Portuguese,,,,,,,
1369,Regional,,,,,,,
1370,Portuguese,,,,,,,
1371,Japanese,,,,,,,
1372,Indian,,,,,,,
1373,YUMS x2,Regional,,,,,,
1374,YUMS x2,European,,,,,,
1375,YUMS x2,Portuguese,Accepting my yums,,,,,
1376,YUMS x2,Indian,,,,,,
1377,YUMS x2,INSIDER,Mediterranean,,,,,
1378,Mexican,,,,,,,
1379,MICHELIN,INSIDER,International food,,,,,
1380,YUMS x2,Steakhouse,,,,,,
1381,Iranian,,,,,,,
1382,YUMS x2,International food,,,,,,
1383,YUMS x2,Portuguese,Accepting my yums,,,,,
1384,YUMS x2,INSIDER,Portuguese,Accepting my yums,,,,
1385,Fusion,,,,,,,
1386,Indian,,,,,,,
1387,YUMS x2,Mexican,,,,,,
1388,International,,,,,,,
1389,Portuguese,,,,,,,
1390,YUMS x2,Portuguese,,,,,,
1391,Japanese,,,,,,,
1392,YUMS x2,Portuguese,,,,,,
1393,Japanese,,,,,,,
1394,Nepalese,,,,,,,
1395,International,,,,,,,
1396,INSIDER,Meat Cuisine,,,,,,
1397,International,,,,,,,
1398,INSIDER,International,,,,,,
1399,Japanese,,,,,,,
1400,Portuguese,,,,,,,
1401,YUMS x2,Spanish,,,,,,
1402,Steakhouse,,,,,,,
1403,Mexican,,,,,,,
1404,International,,,,,,,
1405,Mediterranean,,,,,,,
1406,International,,,,,,,
1407,Pizzeria,,,,,,,
1408,Asian,,,,,,,
1409,Portuguese,,,,,,,
1410,European,,,,,,,
1411,Brazilian,,,,,,,
1412,Mexican,,,,,,,
1413,Meat Cuisine,,,,,,,
1414,International,,,,,,,
1415,Lebanese,,,,,,,
1416,Italian,,,,,,,
1417,Vegan cuisine,,,,,,,
1418,INSIDER,Portuguese,,,,,,
1419,Japanese,,,,,,,
1420,YUMS x2,INSIDER,Portuguese,,,,,
1421,International,,,,,,,
1422,Portuguese,,,,,,,
1423,Brazilian,,,,,,,
1424,International,,,,,,,
1425,Italian,,,,,,,
1426,Pizzeria,,,,,,,
1427,Japanese,,,,,,,
1428,Portuguese,,,,,,,
1429,Mexican,,,,,,,
1430,Portuguese,,,,,,,
1431,Asian,,,,,,,
1432,Portuguese,,,,,,,
1433,Pizzeria,,,,,,,
1434,MICHELIN,INSIDER,International,,,,,
1435,Fusion,,,,,,,
1436,Steakhouse,,,,,,,
1437,Portuguese,,,,,,,
1438,Indian,,,,,,,
1439,YUMS x2,Pizzeria,,,,,,
1440,Portuguese,,,,,,,
1441,Lebanese,,,,,,,
1442,YUMS x2,Mexican,Accepting my yums,,,,,
1443,YUMS x2,Pizzeria,,,,,,
1444,Japanese,,,,,,,
1445,Mediterranean,,,,,,,
1446,YUMS x2,Peruvian,,,,,,
1447,Asian,,,,,,,
1448,Portuguese,,,,,,,
1449,Italian,,,,,,,
1450,Mediterranean,,,,,,,
1451,French,,,,,,,
1452,Indian,,,,,,,
1453,YUMS x2,Cantonese,,,,,,
1454,Italian,,,,,,,
1455,Pizzeria,,,,,,,
1456,Portuguese,,,,,,,
1457,Mediterranean,,,,,,,
1458,Mediterranean,,,,,,,
1459,Portuguese,,,,,,,
1460,Brazilian,,,,,,,
1461,Japanese,,,,,,,
1462,Portuguese,,,,,,,
1463,International,,,,,,,
1464,Portuguese,,,,,,,
1465,YUMS x2,International,,,,,,
1466,Thai,,,,,,,
1467,Mexican,,,,,,,
1468,Meat Cuisine,,,,,,,
1469,INSIDER,Mediterranean,,,,,,
1470,Portuguese,,,,,,,
1471,International,,,,,,,
1472,Portuguese,,,,,,,
1473,American,,,,,,,
1474,INSIDER,Portuguese,,,,,,
1475,Pizzeria,,,,,,,
1476,Italian,,,,,,,
1477,INSIDER,Steakhouse,,,,,,
1478,YUMS x2,European,Accepting my yums,,,,,
1479,Peruvian,,,,,,,
1480,Japanese,,,,,,,
1481,Japanese,,,,,,,
1482,Portuguese,,,,,,,
1483,Mediterranean,,,,,,,
1484,International,,,,,,,
1485,INSIDER,Portuguese,Accepting my yums,,,,,
1486,INSIDER,Japanese,,,,,,
1487,Indian,,,,,,,
1488,African,,,,,,,
1489,Japanese,,,,,,,
1490,YUMS x2,Portuguese,,,,,,
1491,INSIDER,Pizzeria,,,,,,
1492,Traditional cuisine,,,,,,,
1493,INSIDER,Portuguese,Accepting my yums,,,,,
1494,Portuguese,,,,,,,
1495,INSIDER,Vegan cuisine,,,,,,
1496,Mediterranean,,,,,,,
1497,INSIDER,Brazilian,,,,,,
1498,Portuguese,,,,,,,
1499,American,,,,,,,
1500,Asian,,,,,,,
1501,Portuguese,,,,,,,
1502,Portuguese,,,,,,,
1503,INSIDER,Portuguese,Accepting my yums,,,,,
1504,YUMS x2,Portuguese,,,,,,
1505,Italian,,,,,,,
1506,Portuguese,,,,,,,
1507,Portuguese,,,,,,,
1508,Pizzeria,,,,,,,
1509,Portuguese,,,,,,,
1510,YUMS x2,Portuguese,Accepting my yums,,,,,
1511,INSIDER,Seafood,,,,,,
1512,Japanese,,,,,,,
1513,INSIDER,Portuguese,Accepting my yums,,,,,
1514,Greek,,,,,,,
1515,YUMS x2,Portuguese,,,,,,
1516,Portuguese,,,,,,,
1517,International,,,,,,,
1518,Portuguese,,,,,,,
1519,Asian,,,,,,,
1520,Seafood,,,,,,,
1521,INSIDER,Japanese,,,,,,
1522,Peruvian,,,,,,,
1523,Pizzeria,,,,,,,
1524,MICHELIN,INSIDER,Portuguese,,,,,
1525,European,,,,,,,
1526,Grilled,,,,,,,
1527,Indian,,,,,,,
1528,Tibetan,,,,,,,
1529,Steakhouse,,,,,,,
1530,Mediterranean,,,,,,,
1531,MICHELIN,INSIDER,Portuguese,Accepting my yums,,,,
1532,INSIDER,European,,,,,,
1533,International,,,,,,,
1534,Vietnamese,,,,,,,
1535,INSIDER,Portuguese,,,,,,
1536,Italian,,,,,,,
1537,Portuguese,,,,,,,
1538,Portuguese,,,,,,,
1539,Portuguese,,,,,,,
1540,Mediterranean,,,,,,,
1541,Portuguese,,,,,,,
1542,International,,,,,,,
1543,INSIDER,Portuguese,,,,,,
1544,Portuguese,,,,,,,
1545,INSIDER,Portuguese,,,,,,
1546,International food,,,,,,,
1547,Portuguese,,,,,,,
1548,Portuguese,,,,,,,
1549,International,,,,,,,
1550,Portuguese,,,,,,,
1551,Mexican,,,,,,,
1552,Portuguese,,,,,,,
1553,Portuguese,,,,,,,
1554,Portuguese,,,,,,,
1555,Portuguese,,,,,,,
1556,Fusion,,,,,,,
1557,Argentinian,,,,,,,
1558,Mediterranean,,,,,,,
1559,International,Accepting my yums,,,,,,
1560,Pizzeria,,,,,,,
1561,International,,,,,,,
1562,International,,,,,,,
1563,Japanese,,,,,,,
1564,Portuguese,,,,,,,
1565,Portuguese,,,,,,,
1566,Mediterranean,,,,,,,
1567,Indian,,,,,,,
1568,Portuguese,,,,,,,
1569,Portuguese,,,,,,,
1570,Varied,,,,,,,
1571,Pizzeria,,,,,,,
1572,Portuguese,,,,,,,
1573,Indian,,,,,,,
1574,Regional,Accepting my yums,,,,,,
1575,Italian,,,,,,,
1576,International food,,,,,,,
1577,INSIDER,Brazilian,,,,,,
1578,Portuguese,,,,,,,
1579,European,,,,,,,
1580,Mediterranean,,,,,,,
1581,Portuguese,,,,,,,
1582,Mediterranean,,,,,,,
1583,Portuguese,,,,,,,
1584,Korean,,,,,,,
1585,Pizzeria,,,,,,,
1586,American,Accepting my yums,,,,,,
1587,Italian,,,,,,,
1588,Steakhouse,,,,,,,
1589,International,,,,,,,
1590,Portuguese,,,,,,,
1591,Portuguese,,,,,,,
1592,INSIDER,International food,,,,,,
1593,European,,,,,,,
1594,International,,,,,,,
1595,Portuguese,,,,,,,
1596,Pizzeria,,,,,,,
1597,Italian,,,,,,,
1598,Italian,,,,,,,
1599,International,,,,,,,
1600,Vegan cuisine,,,,,,,
1601,YUMS x2,Seafood,,,,,,
1602,International,,,,,,,
1603,Mediterranean,,,,,,,
1604,Portuguese,,,,,,,
1605,Indian,,,,,,,
1606,International,,,,,,,
1607,Mediterranean,Accepting my yums,,,,,,
1608,Fusion,,,,,,,
1609,Indian,,,,,,,
1610,YUMS x2,Portuguese,Accepting my yums,,,,,
1611,International,,,,,,,
1612,International food,,,,,,,
1613,Portuguese,,,,,,,
1614,Pizzeria,,,,,,,
1615,French,,,,,,,
1616,Portuguese,,,,,,,
1617,MICHELIN,International,,,,,,
1618,Pizzeria,,,,,,,
1619,Portuguese,,,,,,,
1620,Portuguese,,,,,,,
1621,Seafood,,,,,,,
1622,Portuguese,,,,,,,
1623,Portuguese,,,,,,,
1624,Portuguese,,,,,,,
1625,Portuguese,,,,,,,
1626,Mediterranean,,,,,,,
1627,Seafood,,,,,,,
1628,Italian,,,,,,,
1629,Portuguese,,,,,,,
1630,Pizzeria,,,,,,,
1631,International,,,,,,,
1632,Portuguese,,,,,,,
1633,International,Accepting my yums,,,,,,
1634,Asian,,,,,,,
1635,International,,,,,,,
1636,Pizzeria,,,,,,,
1637,Portuguese,Accepting my yums,,,,,,
1638,Steakhouse,,,,,,,
1639,Pizzeria,,,,,,,
1640,Fusion,,,,,,,
1641,Seafood,,,,,,,
1642,International food,,,,,,,
1643,Steakhouse,Accepting my yums,,,,,,
1644,Mexican,,,,,,,
1645,Portuguese,,,,,,,
1646,Portuguese,,,,,,,
1647,Italian,,,,,,,
1648,Portuguese,,,,,,,
1649,Italian,,,,,,,
1650,Italian,,,,,,,
1651,Portuguese,,,,,,,
1652,International,,,,,,,
1653,Portuguese,,,,,,,
1654,Portuguese,,,,,,,
1655,International,,,,,,,
1656,Japanese,,,,,,,
1657,Seafood,,,,,,,
1658,Japanese,,,,,,,
1659,Indian,,,,,,,
1660,Mediterranean,,,,,,,
1661,Seafood,,,,,,,
1662,MICHELIN,Mexican,,,,,,
1663,INSIDER,Mediterranean,,,,,,
1664,Portuguese,,,,,,,
1665,American,,,,,,,
1666,YUMS x2,Portuguese,Accepting my yums,,,,,
1667,INSIDER,European,,,,,,
1668,Steakhouse,,,,,,,
1669,Portuguese,,,,,,,
1670,MICHELIN,INSIDER,International,,,,,
1671,Portuguese,,,,,,,
1672,International,,,,,,,
1673,MICHELIN,INSIDER,Mediterranean,,,,,
1674,Portuguese,,,,,,,
1675,Portuguese,,,,,,,
1676,Portuguese,,,,,,,
1677,INSIDER,Portuguese,,,,,,
1678,INSIDER,Traditional cuisine,,,,,,
1679,Mexican,,,,,,,
1680,Mediterranean,,,,,,,
1681,Pugliese,,,,,,,
1682,Portuguese,,,,,,,
1683,Mediterranean,,,,,,,
1684,Pizzeria,,,,,,,
1685,European,,,,,,,
1686,Pizzeria,,,,,,,
1687,International,,,,,,,
1688,American,,,,,,,
1689,Portuguese,,,,,,,
1690,Portuguese,Accepting my yums,,,,,,
1691,Portuguese,,,,,,,
1692,Portuguese,,,,,,,
1693,Portuguese,,,,,,,
1694,Italian,,,,,,,
1695,INSIDER,Portuguese,,,,,,
1696,Italian,,,,,,,
1697,Portuguese,,,,,,,
1698,Steakhouse,,,,,,,
1699,International,,,,,,,
1700,Portuguese,,,,,,,
1701,Portuguese,,,,,,,
1702,Portuguese,,,,,,,
1703,International,,,,,,,
1704,Pizzeria,,,,,,,
1705,Pizzeria,,,,,,,
1706,International food,,,,,,,
1707,Seafood,,,,,,,
1708,INSIDER,International,,,,,,
1709,Portuguese,,,,,,,
1710,European,,,,,,,
1711,Mediterranean,,,,,,,
1712,Portuguese,,,,,,,
1713,Portuguese,,,,,,,
1714,MICHELIN,INSIDER,International food,,,,,
1715,Portuguese,,,,,,,
1716,Italian,,,,,,,
1717,INSIDER,Portuguese,,,,,,
1718,INSIDER,Portuguese,,,,,,
1719,Pizzeria,,,,,,,
1720,Pizzeria,,,,,,,
1721,INSIDER,MICHELIN,Vegetarian,,,,,
1722,European,,,,,,,
1723,Portuguese,,,,,,,
1724,Portuguese,,,,,,,
1725,Japanese,,,,,,,
1726,Portuguese,,,,,,,
1727,Portuguese,,,,,,,
1728,Seafood,,,,,,,
1729,Steakhouse,,,,,,,
1730,INSIDER,Local,,,,,,
1731,Italian,,,,,,,
1732,Portuguese,,,,,,,
1733,Italian,,,,,,,
1734,Steakhouse,,,,,,,
1735,Steakhouse,,,,,,,
1736,INSIDER,MICHELIN,Traditional cuisine,,,,,
1737,Italian,,,,,,,
1738,Portuguese,,,,,,,
1739,INSIDER,MICHELIN,Portuguese,,,,,
1740,INSIDER,Portuguese,,,,,,
1741,MICHELIN,INSIDER,International,,,,,
1742,Portuguese,,,,,,,
1743,Portuguese,,,,,,,
1744,Portuguese,,,,,,,
1745,Mediterranean,,,,,,,
1746,INSIDER,Fusion,,,,,,
1747,Portuguese,,,,,,,
1748,Indian,,,,,,,
1749,Portuguese,,,,,,,
1750,Portuguese,,,,,,,
1751,Vietnamese,,,,,,,
1752,INSIDER,Portuguese,,,,,,
1753,American,,,,,,,
1754,European,Accepting my yums,,,,,,
1755,Portuguese,,,,,,,
1756,Seafood,,,,,,,
1757,Lebanese,,,,,,,
1758,Portuguese,,,,,,,
1759,International food,,,,,,,
1760,Pizzeria,,,,,,,
1761,INSIDER,MICHELIN,Portuguese,,,,,
1762,Portuguese,,,,,,,
1763,Italian,,,,,,,
1764,Italian,,,,,,,
1765,American,,,,,,,
1766,Asian,,,,,,,
1767,Portuguese,,,,,,,
1768,Brazilian,,,,,,,
1769,International,,,,,,,
1770,Portuguese,Accepting my yums,,,,,,
1771,Portuguese,,,,,,,
1772,European,,,,,,,
1773,Portuguese,,,,,,,
1774,YUMS x2,Portuguese,,,,,,
1775,International,,,,,,,
1776,Mediterranean,,,,,,,
1777,Indian,,,,,,,
1778,Spanish,,,,,,,
1779,Portuguese,,,,,,,
1780,Vegetarian,,,,,,,
1781,European,,,,,,,
1782,International,,,,,,,
1783,Italian,,,,,,,
1784,Japanese,,,,,,,
1785,INSIDER,Portuguese,,,,,,
1786,Portuguese,,,,,,,
1787,Portuguese,,,,,,,
1788,Portuguese,,,,,,,
1789,Portuguese,,,,,,,
1790,Portuguese,,,,,,,
1791,Seafood,,,,,,,
1792,Mexican,,,,,,,
1793,MICHELIN,INSIDER,Portuguese,,,,,
1794,INSIDER,Italian,,,,,,
1795,Portuguese,,,,,,,
1796,Vegan cuisine,Accepting my yums,,,,,,
1797,International,,,,,,,
1798,Portuguese,,,,,,,
1799,YUMS x2,French,,,,,,
1800,Mexican,,,,,,,
1801,Pizzeria,,,,,,,
1802,International,,,,,,,
1803,International,,,,,,,
1804,MICHELIN,Portuguese,,,,,,
1805,Portuguese,,,,,,,
1806,Portuguese,,,,,,,
1807,Portuguese,,,,,,,
1808,Portuguese,,,,,,,
