,type
0,International food
1,International food
2,Japanese
3,Indian
4,Portuguese
5,Italian
6,Pizzeria
7,International food
8,Portuguese
9,Portuguese
10,International
11,International
12,Mediterranean
13,Fusion
14,Portuguese
15,Japanese
16,Mediterranean
17,Portuguese
18,Nepalese
19,Italian
20,Portuguese
21,Italian
22,European
23,Mediterranean
24,International
25,Portuguese
26,Japanese
27,Indian
28,Portuguese
29,Italian
30,Italian
31,Italian
32,International food
33,Mediterranean
34,Indian
35,Seafood
36,Vegan cuisine
37,International
38,Portuguese
39,International
40,Indian
41,Traditional cuisine
42,Steakhouse
43,International
44,Portuguese
45,Mediterranean
46,Steakhouse
47,Regional
48,Greek
49,Portuguese
50,Italian
51,European
52,Portuguese
53,Italian
54,Portuguese
55,Italian
56,Portuguese
57,Italian
58,European
59,Mediterranean
60,Mediterranean
61,Portuguese
62,Japanese
63,Portuguese
64,Portuguese
65,Vegetarian
66,Indian
67,Mediterranean
68,Mediterranean
69,European
70,Mediterranean
71,Italian
72,Pizzeria
73,International
74,Portuguese
75,Italian
76,Japanese
77,Traditional cuisine
78,International
79,Mediterranean
80,Mediterranean
81,Varied
82,Italian
83,European
84,Varied
85,Italian
86,Portuguese
87,Pizzeria
88,Mediterranean
89,Varied
90,International
91,Portuguese
92,Mediterranean
93,Pizzeria
94,Portuguese
95,Portuguese
96,Grilled
97,Varied
98,European
99,Mediterranean
100,Portuguese
101,International food
102,Italian
103,Italian
104,Portuguese
105,Italian
106,International
107,Mediterranean
108,Pizzeria
109,Mediterranean
110,Thai
111,Portuguese
112,International food
113,Portuguese
114,Traditional cuisine
115,Italian
116,Mexican
117,International
118,Portuguese
119,Indian
120,Local
121,Asian
122,Varied
123,Traditional cuisine
124,Seafood
125,Portuguese
126,Steakhouse
127,International food
128,Steakhouse
129,Steakhouse
130,International food
131,Pizzeria
132,European
133,Portuguese
134,Portuguese
135,Mediterranean
136,Greek
137,Indian
138,European
139,International
140,Japanese
141,French
142,Italian
143,Portuguese
144,Portuguese
145,International food
146,Portuguese
147,Steakhouse
148,International
149,Thai
150,Portuguese
151,International
152,Italian
153,International
154,International food
155,Portuguese
156,Nepalese
157,European
158,Steakhouse
159,Portuguese
160,Portuguese
161,International
162,Asian
163,International
164,Fusion
165,European
166,Japanese
167,Portuguese
168,Portuguese
169,Japanese
170,Japanese
171,Portuguese
172,Mediterranean
173,Mediterranean
174,Portuguese
175,Italian
176,Traditional cuisine
177,International food
178,International
179,Regional
180,Japanese
181,Mediterranean
182,Mediterranean
183,Pizzeria
184,Steakhouse
185,Steakhouse
186,Vegan cuisine
187,Steakhouse
188,Portuguese
189,Japanese
190,Mediterranean
191,Portuguese
192,Pizzeria
193,Portuguese
194,Portuguese
195,European
196,Portuguese
197,Portuguese
198,International food
199,Fusion
200,Portuguese
201,Mediterranean
202,Portuguese
203,Italian
204,Mediterranean
205,Mediterranean
206,Portuguese
207,South American
208,Mediterranean
209,Thai
210,Portuguese
211,Mediterranean
212,Regional
213,Seafood
214,Local
215,International
216,Portuguese
217,Portuguese
218,Portuguese
219,European
220,Japanese
221,Thai
222,European
223,Portuguese
224,Italian
225,Mediterranean
226,Portuguese
227,International
228,International
229,Mediterranean
230,Portuguese
231,International
232,Indian
233,Traditional cuisine
234,Mediterranean
235,Steakhouse
236,Mediterranean
237,Mediterranean
238,Pub grub
239,Seafood
240,Portuguese
241,Italian
242,Mexican
243,Mediterranean
244,International
245,International
246,Portuguese
247,Japanese
248,Mediterranean
249,European
250,Portuguese
251,International
252,Japanese
253,Italian
254,Portuguese
255,Pizzeria
256,Portuguese
257,Brazilian
258,Portuguese
259,International
260,Japanese
261,Japanese
262,Italian
263,Portuguese
264,Portuguese
265,Portuguese
266,Portuguese
267,Portuguese
268,Portuguese
269,Portuguese
270,International
271,Portuguese
272,Portuguese
273,Portuguese
274,Steakhouse
275,Portuguese
276,Portuguese
277,Portuguese
278,International
279,Portuguese
280,Portuguese
281,Portuguese
282,European
283,Portuguese
284,European
285,Venezuelan
286,European
287,Regional
288,Portuguese
289,Portuguese
290,Traditional cuisine
291,Portuguese
292,International
293,Portuguese
294,Portuguese
295,Portuguese
296,Portuguese
297,Portuguese
298,Grilled
299,Portuguese
300,International
301,Italian
302,Mediterranean
303,Pizzeria
304,Indian
305,Portuguese
306,Pizzeria
307,Mediterranean
308,Steakhouse
309,Japanese
310,Japanese
311,Portuguese
312,Portuguese
313,European
314,Portuguese
315,Portuguese
316,European
317,Portuguese
318,Portuguese
319,Portuguese
320,Portuguese
321,Portuguese
322,Portuguese
323,Portuguese
324,Portuguese
325,Italian
326,Portuguese
327,Mediterranean
328,Grilled
329,Regional
330,Portuguese
331,Portuguese
332,Traditional cuisine
333,Traditional cuisine
334,Portuguese
335,Fusion
336,Pizzeria
337,Japanese
338,Peruvian
339,Pizzeria
340,Portuguese
341,Meat Cuisine
342,International
343,Varied
344,Korean
345,European
346,International
347,Portuguese
348,European
349,Italian
350,Grilled
351,American
352,Portuguese
353,Japanese
354,Portuguese
355,Portuguese
356,Grilled
357,Portuguese
358,Italian
359,Pizzeria
360,Portuguese
361,Japanese
362,Portuguese
363,Pizzeria
364,American
365,Portuguese
366,Portuguese
367,Vegetarian
368,International
369,International food
370,Italian
371,Traditional cuisine
372,Mediterranean
373,Japanese
374,Pizzeria
375,Seafood
376,Portuguese
377,Portuguese
378,Vegetarian
379,Japanese
380,Meat Cuisine
381,Japanese
382,Portuguese
383,Grilled
384,Portuguese
385,European
386,Meat Cuisine
387,Traditional cuisine
388,Vegetarian
389,Mediterranean
390,Portuguese
391,International
392,Pizzeria
393,Japanese
394,Steakhouse
395,International food
396,Traditional cuisine
397,Indian
398,Japanese
399,Brazilian
400,Seafood
401,Portuguese
402,European
403,Portuguese
404,Seafood
405,Portuguese
406,Asian
407,Mediterranean
408,Grilled
409,Mediterranean
410,Mediterranean
411,Portuguese
412,Mediterranean
413,Regional
414,Portuguese
415,Portuguese
416,Mexican
417,Portuguese
418,Regional
419,Grilled
420,Japanese
421,European
422,Portuguese
423,Portuguese
424,Portuguese
425,European
426,European
427,Portuguese
428,Varied
429,Portuguese
430,International
431,Italian
432,Regional
433,American
434,Pizzeria
435,Portuguese
436,Japanese
437,American
438,European
439,Asian
440,Mediterranean
441,Mediterranean
442,European
443,Portuguese
444,European
445,European
446,Steakhouse
447,Grilled
448,Grilled
449,Portuguese
450,Italian
451,European
452,Italian
453,Mexican
454,Pizzeria
455,American
456,European
457,Brazilian
458,European
459,Pizzeria
460,Portuguese
461,Mediterranean
462,Portuguese
463,Mediterranean
464,Regional
465,Portuguese
466,International
467,European
468,Pizzeria
469,Pizzeria
470,Brazilian
471,Pizzeria
472,European
473,Steakhouse
474,Pizzeria
475,European
476,Fusion
477,Regional
478,European
479,European
480,Portuguese
481,Pizzeria
482,International food
483,Traditional cuisine
484,Portuguese
485,Varied
486,European
487,Pizzeria
488,Pizzeria
489,Portuguese
490,European
491,European
492,Portuguese
493,Portuguese
494,European
495,International
496,Portuguese
497,Seafood
498,American
499,Pizzeria
500,American
501,Portuguese
502,Pub grub
503,Fusion
504,European
505,Indian
506,Pizzeria
507,Italian
508,Steakhouse
509,Portuguese
510,Mediterranean
511,Portuguese
512,Portuguese
513,Fusion
514,Mediterranean
515,Japanese
516,Mediterranean
517,Pizzeria
518,International
519,Mediterranean
520,Portuguese
521,Mediterranean
522,Fusion
523,Portuguese
524,Mediterranean
525,Portuguese
526,Portuguese
527,Steakhouse
528,Italian
529,Mediterranean
530,Mediterranean
531,Portuguese
532,Italian
533,Brazilian
534,Pizzeria
535,Vegetarian
536,Steakhouse
537,Portuguese
538,Italian
539,European
540,International
541,Japanese
542,Italian
543,Brazilian
544,Italian
545,International
546,International food
547,Portuguese
548,Mediterranean
549,Mediterranean
550,Steakhouse
551,Vegan cuisine
552,Mediterranean
553,Portuguese
554,Portuguese
555,Portuguese
556,Italian
557,Portuguese
558,Portuguese
559,Portuguese
560,Pizzeria
561,Portuguese
562,Asian
563,Japanese
564,International
565,Portuguese
566,Portuguese
567,Japanese
568,Portuguese
569,Portuguese
570,Mediterranean
571,Mediterranean
572,Pizzeria
573,American
574,European
575,Portuguese
576,European
577,Vegan cuisine
578,Portuguese
579,Portuguese
580,Japanese
581,Portuguese
582,Portuguese
583,Portuguese
584,Pizzeria
585,European
586,International
587,Mediterranean
588,Portuguese
589,Japanese
590,Meat Cuisine
591,European
592,Pizzeria
593,Mexican
594,Portuguese
595,Japanese
596,Steakhouse
597,Pizzeria
598,Portuguese
599,Japanese
600,Brazilian
601,Japanese
602,Japanese
603,Japanese
604,International
605,Portuguese
606,Portuguese
607,Asian
608,Portuguese
609,Pizzeria
610,Portuguese
611,Portuguese
612,Japanese
613,Portuguese
614,American
615,Brazilian
616,Portuguese
617,Portuguese
618,Pizzeria
619,Japanese
620,Steakhouse
621,Grilled
622,Mediterranean
623,International
624,Mediterranean
625,Japanese
626,Italian
627,Portuguese
628,International
629,Portuguese
630,Seafood
631,Pizzeria
632,Vegan cuisine
633,Steakhouse
634,International
635,Portuguese
636,Toscano
637,Japanese
638,Portuguese
639,Fusion
640,Japanese
641,Italian
642,Portuguese
643,Pizzeria
644,Peruvian
645,Pizzeria
646,Japanese
647,Portuguese
648,Seafood
649,Pizzeria
650,International
651,Steakhouse
652,Portuguese
653,Portuguese
654,Pizzeria
655,Mediterranean
656,Portuguese
657,International
658,Japanese
659,Japanese
660,Mediterranean
661,Japanese
662,Pizzeria
663,Pizzeria
664,Portuguese
665,Japanese
666,Japanese
667,Japanese
668,Portuguese
669,Spanish
670,Peruvian
671,Steakhouse
672,African
673,Mediterranean
674,Portuguese
675,Varied
676,Japanese
677,Portuguese
678,Mediterranean
679,Japanese
680,Japanese
681,Portuguese
682,Asian
683,Portuguese
684,Seafood
685,Brazilian
686,Italian
687,Pizzeria
688,Japanese
689,Portuguese
690,Pizzeria
691,Portuguese
692,Portuguese
693,Italian
694,Portuguese
695,Mexican
696,Portuguese
697,Pizzeria
698,Asian
699,Asian
700,Indian
701,European
702,Steakhouse
703,Japanese
704,Portuguese
705,European
706,Japanese
707,Syrian
708,American
709,American
710,Steakhouse
711,Grilled
712,Italian
713,Steakhouse
714,Mediterranean
715,Portuguese
716,Korean
717,Portuguese
718,Regional
719,Portuguese
720,Japanese
721,Indian
722,Regional
723,European
724,Portuguese
725,Indian
726,Mediterranean
727,Mexican
728,International food
729,Steakhouse
730,Iranian
731,International food
732,Portuguese
733,Portuguese
734,Fusion
735,Indian
736,Mexican
737,International
738,Portuguese
739,Portuguese
740,Japanese
741,Portuguese
742,Japanese
743,Nepalese
744,International
745,Meat Cuisine
746,International
747,International
748,Japanese
749,Portuguese
750,Spanish
751,Steakhouse
752,Mexican
753,International
754,Mediterranean
755,International
756,Pizzeria
757,Asian
758,Portuguese
759,European
760,Brazilian
761,Mexican
762,Meat Cuisine
763,International
764,Lebanese
765,Italian
766,Vegan cuisine
767,Portuguese
768,Japanese
769,Portuguese
770,International
771,Portuguese
772,Brazilian
773,International
774,Italian
775,Pizzeria
776,Japanese
777,Portuguese
778,Mexican
779,Portuguese
780,Asian
781,Portuguese
782,Pizzeria
783,International
784,Fusion
785,Steakhouse
786,Portuguese
787,Indian
788,Pizzeria
789,Portuguese
790,Lebanese
791,Mexican
792,Pizzeria
793,Japanese
794,Mediterranean
795,Peruvian
796,Asian
797,Portuguese
798,Italian
799,Mediterranean
800,French
801,Indian
802,Cantonese
803,Italian
804,Pizzeria
805,Portuguese
806,Mediterranean
807,Mediterranean
808,Portuguese
809,Brazilian
810,Japanese
811,Portuguese
812,International
813,Portuguese
814,International
815,Thai
816,Mexican
817,Meat Cuisine
818,Mediterranean
819,Portuguese
820,International
821,Portuguese
822,American
823,Portuguese
824,Pizzeria
825,Italian
826,Steakhouse
827,European
828,Peruvian
829,Japanese
830,Japanese
831,Portuguese
832,Mediterranean
833,International
834,Portuguese
835,Japanese
836,Indian
837,African
838,Japanese
839,Portuguese
840,Pizzeria
841,Traditional cuisine
842,Portuguese
843,Portuguese
844,Vegan cuisine
845,Mediterranean
846,Brazilian
847,Portuguese
848,American
849,Asian
850,Portuguese
851,Portuguese
852,Portuguese
853,Portuguese
854,Italian
855,Portuguese
856,Portuguese
857,Pizzeria
858,Portuguese
859,Portuguese
860,Seafood
861,Japanese
862,Portuguese
863,Greek
864,Portuguese
865,Portuguese
866,International
867,Portuguese
868,Asian
869,Seafood
870,Japanese
871,Peruvian
872,Pizzeria
873,Portuguese
874,European
875,Grilled
876,Indian
877,Tibetan
878,Steakhouse
879,Mediterranean
880,Portuguese
881,European
882,International
883,Vietnamese
884,Portuguese
885,Italian
886,Portuguese
887,Portuguese
888,Portuguese
889,Mediterranean
890,Portuguese
891,International
892,Portuguese
893,Portuguese
894,Portuguese
895,International food
896,Portuguese
897,Portuguese
898,International
899,Portuguese
900,Mexican
901,Portuguese
902,Portuguese
903,Portuguese
904,Portuguese
905,Fusion
906,Argentinian
907,Mediterranean
908,International
909,Pizzeria
910,International
911,International
912,Japanese
913,Portuguese
914,Portuguese
915,Mediterranean
916,Indian
917,Portuguese
918,Portuguese
919,Varied
920,Pizzeria
921,Portuguese
922,Indian
923,Regional
924,Italian
925,International food
926,Brazilian
927,Portuguese
928,European
929,Mediterranean
930,Portuguese
931,Mediterranean
932,Portuguese
933,Korean
934,Pizzeria
935,American
936,Italian
937,Steakhouse
938,International
939,Portuguese
940,Portuguese
941,International food
942,European
943,International
944,Portuguese
945,Pizzeria
946,Italian
947,Italian
948,International
949,Vegan cuisine
950,Seafood
951,International
952,Mediterranean
953,Portuguese
954,Indian
955,International
956,Mediterranean
957,Fusion
958,Indian
959,Portuguese
960,International
961,International food
962,Portuguese
963,Pizzeria
964,French
965,Portuguese
966,International
967,Pizzeria
968,Portuguese
969,Portuguese
970,Seafood
971,Portuguese
972,Portuguese
973,Portuguese
974,Portuguese
975,Mediterranean
976,Seafood
977,Italian
978,Portuguese
979,Pizzeria
980,International
981,Portuguese
982,International
983,Asian
984,International
985,Pizzeria
986,Portuguese
987,Steakhouse
988,Pizzeria
989,Fusion
990,Seafood
991,International food
992,Steakhouse
993,Mexican
994,Portuguese
995,Portuguese
996,Italian
997,Portuguese
998,Italian
999,Italian
1000,Portuguese
1001,International
1002,Portuguese
1003,Portuguese
1004,International
1005,Japanese
1006,Seafood
1007,Japanese
1008,Indian
1009,Mediterranean
1010,Seafood
1011,Mexican
1012,Mediterranean
1013,Portuguese
1014,American
1015,Portuguese
1016,European
1017,Steakhouse
1018,Portuguese
1019,International
1020,Portuguese
1021,International
1022,Mediterranean
1023,Portuguese
1024,Portuguese
1025,Portuguese
1026,Portuguese
1027,Traditional cuisine
1028,Mexican
1029,Mediterranean
1030,Pugliese
1031,Portuguese
1032,Mediterranean
1033,Pizzeria
1034,European
1035,Pizzeria
1036,International
1037,American
1038,Portuguese
1039,Portuguese
1040,Portuguese
1041,Portuguese
1042,Portuguese
1043,Italian
1044,Portuguese
1045,Italian
1046,Portuguese
1047,Steakhouse
1048,International
1049,Portuguese
1050,Portuguese
1051,Portuguese
1052,International
1053,Pizzeria
1054,Pizzeria
1055,International food
1056,Seafood
1057,International
1058,Portuguese
1059,European
1060,Mediterranean
1061,Portuguese
1062,Portuguese
1063,International food
1064,Portuguese
1065,Italian
1066,Portuguese
1067,Portuguese
1068,Pizzeria
1069,Pizzeria
1070,Vegetarian
1071,European
1072,Portuguese
1073,Portuguese
1074,Japanese
1075,Portuguese
1076,Portuguese
1077,Seafood
1078,Steakhouse
1079,Local
1080,Italian
1081,Portuguese
1082,Italian
1083,Steakhouse
1084,Steakhouse
1085,Traditional cuisine
1086,Italian
1087,Portuguese
1088,Portuguese
1089,Portuguese
1090,International
1091,Portuguese
1092,Portuguese
1093,Portuguese
1094,Mediterranean
1095,Fusion
1096,Portuguese
1097,Indian
1098,Portuguese
1099,Portuguese
1100,Vietnamese
1101,Portuguese
1102,American
1103,European
1104,Portuguese
1105,Seafood
1106,Lebanese
1107,Portuguese
1108,International food
1109,Pizzeria
1110,Portuguese
1111,Portuguese
1112,Italian
1113,Italian
1114,American
1115,Asian
1116,Portuguese
1117,Brazilian
1118,International
1119,Portuguese
1120,Portuguese
1121,European
1122,Portuguese
1123,Portuguese
1124,International
1125,Mediterranean
1126,Indian
1127,Spanish
1128,Portuguese
1129,Vegetarian
1130,European
1131,International
1132,Italian
1133,Japanese
1134,Portuguese
1135,Portuguese
1136,Portuguese
1137,Portuguese
1138,Portuguese
1139,Portuguese
1140,Seafood
1141,Mexican
1142,Portuguese
1143,Italian
1144,Portuguese
1145,Vegan cuisine
1146,International
1147,Portuguese
1148,French
1149,Mexican
1150,Pizzeria
1151,International
1152,International
1153,Portuguese
1154,Portuguese
1155,Portuguese
1156,Portuguese
1157,Portuguese
1158,International
1159,Japanese
1160,Portuguese
1161,Portuguese
1162,Portuguese
1163,Portuguese
1164,European
1165,International
1166,Portuguese
1167,Portuguese
1168,European
1169,Japanese
1170,Seafood
1171,Portuguese
1172,Steakhouse
1173,Portuguese
1174,Portuguese
1175,European
1176,Traditional cuisine
1177,Steakhouse
1178,International
1179,Portuguese
1180,Portuguese
1181,Portuguese
1182,Portuguese
1183,Grilled
1184,European
1185,Portuguese
1186,Portuguese
1187,Mediterranean
1188,Portuguese
1189,Traditional cuisine
1190,Portuguese
1191,American
1192,Portuguese
1193,Traditional cuisine
1194,International food
1195,Italian
1196,Japanese
1197,International food
1198,Indian
1199,Italian
1200,Portuguese
1201,International food
1202,Pizzeria
1203,Portuguese
1204,International
1205,Nepalese
1206,Mediterranean
1207,Mediterranean
1208,International
1209,Portuguese
1210,European
1211,Mediterranean
1212,Portuguese
1213,Fusion
1214,Portuguese
1215,International food
1216,International
1217,Indian
1218,Japanese
1219,Portuguese
1220,Italian
1221,Japanese
1222,European
1223,Italian
1224,Indian
1225,Seafood
1226,Italian
1227,Mediterranean
1228,Italian
1229,Portuguese
1230,Portuguese
1231,International
1232,Italian
1233,Vegan cuisine
1234,Steakhouse
1235,International
1236,Portuguese
1237,Indian
1238,Steakhouse
1239,Traditional cuisine
1240,Greek
1241,International
1242,Mediterranean
1243,Regional
1244,Portuguese
1245,European
1246,Portuguese
1247,Italian
1248,Portuguese
1249,Portuguese
1250,Italian
1251,Portuguese
1252,Mediterranean
1253,Japanese
1254,Vegetarian
1255,Mediterranean
1256,Portuguese
1257,Italian
1258,Italian
1259,Portuguese
1260,Indian
1261,Mediterranean
1262,Mediterranean
1263,European
1264,Portuguese
1265,Mediterranean
1266,Mediterranean
1267,Brazilian
1268,European
1269,Portuguese
1270,Varied
1271,Mediterranean
1272,Portuguese
1273,Portuguese
1274,Portuguese
1275,Portuguese
1276,Portuguese
1277,Portuguese
1278,Portuguese
1279,Portuguese
1280,Portuguese
1281,Portuguese
1282,International
1283,Mediterranean
1284,Portuguese
1285,Portuguese
1286,Portuguese
1287,Chinese
1288,Portuguese
1289,Regional
1290,Mediterranean
1291,Portuguese
1292,Grilled
1293,Portuguese
1294,Portuguese
1295,Regional
1296,International food
1297,Portuguese
1298,Portuguese
1299,Portuguese
1300,European
1301,Mediterranean
1302,Japanese
1303,International
1304,European
1305,European
1306,Portuguese
1307,Portuguese
1308,Steakhouse
1309,International food
1310,Mexican
1311,Portuguese
1312,Portuguese
1313,Asian
1314,Portuguese
1315,Mediterranean
1316,Italian
1317,International food
1318,Portuguese
1319,Nepalese
1320,Portuguese
1321,Italian
1322,Japanese
1323,Meat Cuisine
1324,Portuguese
1325,Portuguese
1326,Steakhouse
1327,Portuguese
1328,Varied
1329,Portuguese
1330,Asian
1331,Mediterranean
1332,European
1333,Fusion
1334,International
1335,Portuguese
1336,International
1337,Mediterranean
1338,European
1339,Portuguese
1340,American
1341,Italian
1342,American
1343,Mediterranean
1344,Mexican
1345,Steakhouse
1346,Portuguese
1347,Portuguese
1348,Vegan cuisine
1349,Portuguese
1350,Vietnamese
1351,Portuguese
1352,Portuguese
1353,Fusion
1354,Portuguese
1355,Italian
1356,European
1357,Portuguese
1358,Vegan cuisine
1359,International food
1360,Brazilian
1361,Portuguese
1362,Pizzeria
1363,Steakhouse
1364,Japanese
1365,Portuguese
1366,International
1367,Asian
1368,Mediterranean
1369,Portuguese
1370,Portuguese
1371,Local
1372,Steakhouse
1373,International
1374,Portuguese
1375,Japanese
1376,Portuguese
1377,Vietnamese
1378,European
1379,International food
1380,Portuguese
1381,Mediterranean
1382,International food
1383,Mediterranean
1384,Argentinian
1385,Portuguese
1386,Mediterranean
1387,Portuguese
1388,Steakhouse
1389,International
1390,European
1391,Brazilian
1392,Portuguese
1393,Italian
1394,Mediterranean
1395,Pizzeria
1396,Portuguese
1397,European
1398,Varied
1399,Portuguese
1400,Pizzeria
1401,Japanese
1402,Japanese
1403,Portuguese
1404,Japanese
1405,Italian
1406,Portuguese
1407,Pizzeria
1408,Mediterranean
1409,Mediterranean
1410,Mediterranean
1411,European
1412,Portuguese
1413,European
1414,European
1415,Portuguese
1416,Mediterranean
1417,Asian
1418,Italian
1419,Vietnamese
1420,Japanese
1421,Meat Cuisine
1422,Portuguese
1423,Pizzeria
1424,American
1425,International food
1426,Brazilian
1427,Japanese
1428,International food
1429,European
1430,Local
1431,Portuguese
1432,Portuguese
1433,Mediterranean
1434,Portuguese
1435,International food
1436,Portuguese
1437,Japanese
1438,European
1439,Pizzeria
1440,Mediterranean
1441,Portuguese
1442,Portuguese
1443,Portuguese
1444,Portuguese
1445,Portuguese
1446,Vegetarian
1447,Portuguese
1448,Steakhouse
1449,Portuguese
1450,Japanese
1451,Japanese
1452,International food
1453,International food
1454,European
1455,International food
1456,Mediterranean
1457,Indian
1458,Regional
1459,Mediterranean
1460,Mediterranean
1461,Portuguese
1462,Pizzeria
1463,Portuguese
1464,European
1465,European
1466,Pizzeria
1467,Varied
1468,Portuguese
1469,Varied
1470,Korean
1471,European
1472,European
1473,Brazilian
1474,Portuguese
1475,Fusion
1476,European
1477,Mediterranean
1478,International food
1479,Local
1480,International
1481,Steakhouse
1482,Vegetarian
1483,European
1484,Pizzeria
1485,Mediterranean
1486,Portuguese
1487,Portuguese
1488,Italian
1489,Spanish
1490,European
1491,International food
1492,Portuguese
1493,European
1494,European
1495,Italian
1496,Regional
1497,Grilled
1498,American
1499,Asian
1500,Portuguese
1501,Mediterranean
1502,Japanese
1503,Portuguese
1504,Portuguese
1505,Mediterranean
1506,Brazilian
1507,Portuguese
1508,Portuguese
1509,Portuguese
1510,Portuguese
1511,Portuguese
1512,Portuguese
1513,Regional
1514,Mediterranean
1515,Japanese
1516,Portuguese
1517,International
1518,European
1519,Portuguese
1520,American
1521,Portuguese
1522,Portuguese
1523,Portuguese
1524,Japanese
1525,European
1526,Portuguese
1527,Portuguese
1528,International
1529,Traditional cuisine
1530,Portuguese
1531,Regional
1532,Portuguese
1533,Traditional cuisine
1534,Portuguese
1535,Japanese
1536,Traditional cuisine
1537,Steakhouse
1538,Pizzeria
1539,Portuguese
1540,Fusion
1541,Italian
1542,Mediterranean
1543,Japanese
1544,Portuguese
1545,Portuguese
1546,Portuguese
1547,Traditional cuisine
1548,Pizzeria
1549,Portuguese
1550,Portuguese
1551,European
1552,International
1553,Traditional cuisine
1554,Traditional cuisine
1555,American
1556,Portuguese
1557,Mediterranean
1558,Portuguese
1559,Portuguese
1560,Traditional cuisine
1561,Portuguese
1562,Portuguese
1563,Portuguese
1564,Portuguese
1565,Grilled
1566,Mediterranean
1567,Varied
1568,Mediterranean
1569,Mediterranean
1570,International
1571,Portuguese
1572,Pizzeria
1573,European
1574,Portuguese
1575,Regional
1576,Portuguese
1577,International
1578,Italian
1579,International
1580,Portuguese
1581,International
1582,Varied
1583,Traditional cuisine
1584,Spanish
1585,Varied
1586,Portuguese
1587,Portuguese
1588,Spanish
1589,European
1590,Portuguese
1591,Grilled
1592,Mediterranean
1593,Mediterranean
1594,Portuguese
1595,European
1596,Portuguese
1597,European
1598,Portuguese
1599,Italian
1600,Portuguese
1601,Portuguese
1602,European
1603,Seafood
1604,Seafood
1605,Varied
1606,European
1607,Traditional cuisine
1608,Portuguese
1609,Regional
1610,Portuguese
1611,Traditional cuisine
1612,Mediterranean
1613,Regional
1614,Portuguese
1615,Portuguese
1616,Traditional cuisine
1617,Portuguese
1618,Portuguese
1619,International
1620,Portuguese
1621,Portuguese
1622,Portuguese
1623,Portuguese
1624,Portuguese
1625,Portuguese
1626,International food
1627,Portuguese
1628,Portuguese
1629,Portuguese
1630,Italian
1631,Portuguese
1632,Steakhouse
1633,Pizzeria
